step,n_train_approx,measurement_ratio,winner_method,winner_rmse,sir_cs_rmse,sir_cs_gap_abs,sir_cs_gap_pct,sir_cs_is_winner
8,104,0.05,ae_regression_ub,0.0170928010223019,0.0456008178753392,0.028508016853037298,166.78376361979144,False
8,104,0.1,ae_regression_ub,0.016345903495965,0.0448218976053937,0.0284759941094287,174.20874971186527,False
8,104,0.2,ae_regression_ub,0.0163268309588288,0.0408473744150922,0.0245205434562634,150.1855658216625,False
16,52,0.05,ae_regression_ub,0.0189066468523691,0.0502756530368296,0.03136900618446049,165.91522774716552,False
16,52,0.1,ae_regression_ub,0.0180264537503214,0.049673915656482,0.0316474619061606,175.56121877602433,False
16,52,0.2,ae_regression_ub,0.0180762431752825,0.0458973668866345,0.027821123711351998,153.90987740967478,False
32,27,0.05,ae_regression_ub,0.0213191758323458,0.0581314663201448,0.036812290487799,172.6722026090089,False
32,27,0.1,ae_regression_ub,0.025007648530029,0.0575049181740113,0.0324972696439823,129.94932172435094,False
32,27,0.2,ae_regression_ub,0.0203498596844915,0.0524916685926821,0.0321418089081906,157.9460959757166,False
