step,n_train_approx,method,rmse_mean_over_rhos,relL2_mean_over_rhos,rmse_std_avg
8,104,ae_regression_ub,0.01658851182569857,0.212908167774939,0.0002166432659486385
8,104,ml_only,0.0221479044009279,0.3004227453095732,0.0009016218721176
8,104,hybrid_lfista_joint,0.043756696631941705,0.5959733284065692,0.0018412278965738334
16,52,ae_regression_ub,0.018336447925991,0.23899127858077182,0.0004970911899723
16,52,ml_only,0.0242282759150876,0.3306554837481155,0.0014010378417218
16,52,hybrid_lfista_joint,0.04861564519331537,0.687278507500967,0.0015271117998653333
32,27,ae_regression_ub,0.022225561348955435,0.3120221827336937,0.0035668618849162667
32,27,ml_only,0.0257063081869201,0.3568751692880073,0.0014407253940715997
32,27,hybrid_lfista_joint,0.0560426843622794,0.8087610371994344,0.0015952654786709
