MD,AT10,AT20,AT30,AT60,AT90,BFV,BS,CBP1,CBP2,CBP3,CBP4,CBP5,CBP6,CBP7,CBP8,CMFF,CMRP_3MS,DSOZ,DTCO,DTSM,DWAL_WALK2,DWCA_WALK2,DWFE_WALK2,DWGD_WALK2,DWSI_WALK2,DWSU_WALK2,DWTI_WALK2,FACIES,GR,GTEM,HCAL,KSDR,KTIM,MPERMC,PEFZ,PHIE,PR,RACHM,RACLM,RHOZ,RMFA,RPCHM,RPCLM,RWA,SP,SSVE,SVEL,SW,T2_DIST[0],T2_DIST[1],T2_DIST[2],T2_DIST[3],T2_DIST[4],T2_DIST[5],T2_DIST[6],T2_DIST[7],T2_DIST[8],T2_DIST[9],T2_DIST[10],T2_DIST[11],T2_DIST[12],T2_DIST[13],T2_DIST[14],T2_DIST[15],T2_DIST[16],T2_DIST[17],T2_DIST[18],T2_DIST[19],T2_DIST[20],T2_DIST[21],T2_DIST[22],T2_DIST[23],T2_DIST[24],T2_DIST[25],T2_DIST[26],T2_DIST[27],T2_DIST[28],T2_DIST[29],T2LM,TCMR,TENS,TNPH,TVD,TVDSS,UZ,VCL,VPVS,WANH,WCAR,WCLA,WCOA,WEVA,WPYR,WQFM,WSID,DENSITY_MUDLOG,TCMR_FILT,DTCO_FILT,GR_FILT,TNPH_FILT,RHOZ_FILT,UZ_FILT,PEFZ_FILT,TCMR_FILT_DPK,DTCO_FILT_DPK,GR_FILT_DPK,TNPH_FILT_DPK,RHOZ_FILT_DPK,UZ_FILT_DPK,PEFZ_FILT_DPK,ANHYDRITE,BIOTITE,CALCITE,DOLOMITE,HALITE,K-FELDSPAR,MUSCOVITE,OIL,QUARTZ,WATER,FACIES_EXT,FACIES_XGB,FACIES_SVM,FACIES_KM,FACIES_SC,FACIES_HW
5621.274,28.48587,11.94386,9.03323,6.6057,6.05903,0.04986,8.5,0.01864,0.00273,1e-05,0.00751,0.02097,0.02124,0.02221,2e-05,0.04347,0.07195,0.01268,57.63772,103.4282,0.00026,0.34745,0.0,0.0,0.0598,0.0034,0.00041,,12.32971,70.91525,8.52205,0.46868,0.60261,1.41757,5.02843,0.0867,0.27478,6.32993,11.47888,2.57491,0.00075,6.49615,5.5056,0.00075,686.7534,,,1.0,0.00412,0.0049,0.00491,0.00411,0.00263,0.00067,1e-05,0.0,1e-05,0.0,0.0,0.0,0.00068,0.00144,0.004,0.006,0.0066,0.00607,0.00511,0.00478,0.00576,0.00761,0.00894,0.0084,0.00558,0.00095,0.0,1e-05,1e-05,0.0,38.78555,0.09332,8456.073,0.08676,5621.0388,-5594.0388,12.98078,0.0,1.79445,0.01445,0.84818,0.00132,0.0,0.0,0.0,0.13605,0.0,,0.09118,57.76633,12.08564,0.08536,2.57762,12.99754,5.0301,0.09118,57.76633,12.08564,0.00085,2.57762,12.99754,5.0301,0.03912,0.01921,0.84708,0.0,0.0,0.0001,0.0,0.0,0.00331,0.09118,2.0,2.0,2.0,1.0,7.0,4.0
5621.4264,27.83062,11.95125,9.06993,6.63118,6.05513,0.0477,8.5,0.01555,0.00253,0.0011,0.01147,0.01704,0.02476,0.0213,0.0003,0.04636,0.07597,0.01027,57.86054,103.316,0.00033,0.34425,0.0,0.0,0.06317,0.00393,0.00052,,13.58321,70.91525,8.53716,0.51935,0.70108,0.70015,5.00673,0.08355,0.27152,5.86186,8.10389,2.58458,0.0007,6.11705,5.45529,0.0007,693.6833,,,1.0,0.00352,0.00396,0.00372,0.00294,0.00181,0.00068,2e-05,0.0,0.00022,0.00044,0.00068,0.00089,0.00198,0.0031,0.00416,0.00473,0.00491,0.00509,0.00549,0.00624,0.00722,0.00806,0.00818,0.00719,0.00512,0.00227,0.00043,2e-05,1e-05,0.0,45.48879,0.09406,8605.997,0.08378,5621.1912,-5594.1912,12.96998,0.0,1.7856,0.01671,0.83779,0.00167,0.0,0.0,0.0,0.14384,0.0,,0.09066,57.84355,12.19991,0.08465,2.58304,12.95114,5.0024,0.09066,57.84355,12.19991,0.00085,2.58304,12.95114,5.0024,0.07661,0.00917,0.81642,0.0,0.0,0.00714,0.0,0.0,0.0,0.09066,3.0,2.0,2.0,1.0,7.0,4.0
5621.5788,27.28742,11.99651,9.10432,6.68574,6.08326,0.04107,8.5,0.00744,0.00021,0.00543,0.01212,0.01587,0.02733,0.02014,0.00143,0.0489,0.08231,0.01877,57.92597,103.0587,0.00045,0.34091,0.0,0.0,0.0663,0.00511,0.0007,,12.10643,70.91525,8.5221,1.209,0.9285,0.38104,4.98329,0.08004,0.26909,5.42198,8.0367,2.59228,0.00064,5.86686,5.02346,0.00064,688.7548,,,1.0,0.00218,0.00231,0.00201,0.00142,0.00074,0.00027,1e-05,0.0,0.00035,0.001,0.00184,0.0023,0.00279,0.00311,0.00326,0.00352,0.00418,0.0053,0.00655,0.00751,0.00801,0.008,0.00745,0.00634,0.00479,0.00295,0.00124,0.00029,5e-05,0.0,67.95989,0.08997,8603.375,0.08033,5621.3436,-5594.3436,12.94511,0.0,1.77914,0.02171,0.82487,0.00224,0.0,0.0,0.0,0.15119,0.0,,0.08865,57.9062,12.70005,0.08331,2.58703,12.8414,4.95281,0.08865,57.9062,12.70005,0.00083,2.58703,12.8414,4.95281,0.01983,0.01732,0.85033,0.0,0.0,0.00861,0.0,0.0,0.01527,0.08865,3.0,1.0,2.0,1.0,7.0,4.0
5621.7312,26.32012,11.96221,9.09666,6.75956,6.13534,0.03525,8.5,0.0015,4e-05,0.00583,0.00972,0.01817,0.02791,0.01906,0.00306,0.05002,0.08373,0.01877,58.0665,103.0117,0.00046,0.34007,0.0,0.0,0.06782,0.00406,0.00073,,12.06261,70.91525,8.52956,2.69941,1.10787,0.29024,4.92073,0.08114,0.26714,4.85437,8.32075,2.59471,0.00066,5.62923,4.76648,0.00066,692.6223,,,1.0,0.00083,0.00082,0.00064,0.00036,0.0001,0.0,0.0,0.0,0.00024,0.00122,0.0025,0.00294,0.00273,0.00231,0.00224,0.00291,0.00439,0.00624,0.00766,0.00821,0.00804,0.00751,0.0068,0.00587,0.00472,0.00336,0.00192,0.00064,9e-05,1e-05,106.4837,0.08527,8909.051,0.08161,5621.496,-5594.496,12.79374,0.0,1.77403,0.01723,0.82614,0.00232,0.0,0.0,0.0,0.1543,0.0,,0.0851,57.95621,13.44172,0.08288,2.58869,12.71792,4.90211,0.0851,57.95621,13.44172,0.00083,2.58869,12.71792,4.90211,0.0565,0.0,0.82068,0.0,0.0,0.02143,0.0,0.0,0.0163,0.0851,1.0,2.0,2.0,1.0,7.0,4.0
5621.8836,25.44738,12.01733,9.14047,6.85006,6.22349,0.03219,8.5,0.0,1e-05,0.00428,0.0066,0.02129,0.02568,0.01962,0.00315,0.04844,0.08061,0.00853,58.04025,102.8294,0.00045,0.34347,0.0,0.0,0.06398,0.00383,0.00072,,13.4183,70.91525,8.52957,2.74717,0.98649,0.84241,4.82489,0.08367,0.26623,4.43576,5.85325,2.58868,0.0007,5.36815,4.27809,0.0007,690.9396,,,1.0,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,0.0,0.0,0.0,0.00098,0.00218,0.00235,0.00184,0.00131,0.00167,0.00315,0.00535,0.00738,0.00831,0.00807,0.00732,0.00671,0.00632,0.00583,0.00496,0.00368,0.00215,0.00079,8e-05,1e-05,128.2283,0.08063,8940.96,0.08407,5621.6483,-5594.6483,12.51741,0.0,1.77169,0.01626,0.83605,0.00228,0.0,0.0,0.0,0.14541,0.0,,0.0802,57.92633,13.98503,0.08325,2.58852,12.61232,4.86164,0.0802,57.92633,13.98503,0.00083,2.58852,12.61232,4.86164,0.02043,0.01287,0.8308,0.0,0.0,0.01028,0.0,0.0,0.04542,0.0802,1.0,1.0,2.0,1.0,7.0,4.0
5622.036,25.22536,12.2452,9.34919,7.06416,6.41626,0.03065,8.5,0.00038,0.00017,0.00192,0.00426,0.02391,0.02202,0.02079,0.00209,0.0449,0.075,0.00455,57.88777,102.5039,0.00044,0.34909,0.0,0.0,0.05741,0.00389,0.00069,,16.03805,70.91525,8.52959,2.79492,0.86511,13.37403,4.77492,0.08436,0.26586,3.85378,4.53824,2.58321,0.00071,4.60341,3.68404,0.00071,685.6296,,,1.0,8e-05,9e-05,9e-05,0.0001,0.0001,7e-05,2e-05,2e-05,1e-05,0.00054,0.00097,0.00088,0.00057,0.00046,0.00179,0.00416,0.00666,0.0082,0.0081,0.00693,0.00592,0.00578,0.00617,0.00628,0.00555,0.00393,0.00173,0.00035,2e-05,0.0,136.4538,0.07555,8941.999,0.08459,5621.8007,-5594.8007,12.36336,0.0,1.77073,0.01651,0.85098,0.0022,0.0,0.0,0.0,0.13031,0.0,,0.07469,57.78504,14.61911,0.08439,2.58647,12.57419,4.85061,0.07469,57.78504,14.61911,0.00084,2.58647,12.57419,4.85061,0.0,0.0,0.86902,0.0,0.0,0.02408,0.0,0.0,0.03221,0.07469,1.0,1.0,2.0,1.0,7.0,4.0
5622.1884,26.29882,12.70191,9.70286,7.33149,6.71021,0.02866,8.5,0.00076,0.00064,0.00013,0.00338,0.02375,0.01983,0.02023,0.00087,0.04094,0.0682,0.00656,57.71118,102.4547,0.00042,0.3556,0.0,0.0,0.05014,0.00332,0.00066,,16.29978,70.91525,8.52202,1.94103,0.49802,18.27795,4.80436,0.08535,0.26762,3.30534,4.87897,2.58374,0.00073,3.60322,3.26543,0.00073,691.8094,,,1.0,0.00011,0.00012,0.00013,0.00014,0.00017,0.00024,0.00023,0.00021,0.00011,0.00011,0.00019,0.00017,0.00017,0.0004,0.002,0.00432,0.00644,0.00753,0.0073,0.00637,0.00572,0.00575,0.00606,0.00595,0.005,0.00326,0.00104,0.0001,1e-05,1e-05,134.6417,0.0696,9074.934,0.08567,5621.9531,-5594.9531,12.44196,0.0,1.7753,0.0141,0.87039,0.0021,0.0,0.0,0.0,0.11341,0.0,,0.069,57.51712,15.19369,0.08456,2.58563,12.62892,4.87316,0.069,57.51712,15.19369,0.00085,2.58563,12.62892,4.87316,3e-05,0.0,0.85879,0.0,0.00706,0.02644,0.0,0.0,0.03868,0.069,1.0,1.0,2.0,1.0,7.0,4.0
5622.3408,29.84377,13.43765,10.19888,7.70981,7.10199,0.02355,8.5,4e-05,0.0016,0.0005,0.00383,0.01758,0.02351,0.01428,0.00108,0.03886,0.06078,0.01611,57.21952,101.9796,0.00065,0.35995,0.00021,0.0,0.04424,0.00396,0.00062,,15.27682,70.91525,8.52963,0.97029,0.41332,30.28955,4.92814,0.08575,0.27027,2.93627,4.10144,2.58199,0.00074,2.94359,2.90998,0.00074,696.3119,,,1.0,5e-05,5e-05,6e-05,6e-05,0.00013,0.00028,0.00034,0.00042,0.00045,0.00037,0.00039,0.00035,0.00034,0.00061,0.00159,0.00301,0.00453,0.00583,0.0067,0.00708,0.00703,0.00657,0.00573,0.00459,0.00325,0.00196,0.00069,5e-05,0.0001,0.00026,126.4395,0.06241,8905.022,0.08603,5622.1055,-5595.1055,12.75446,0.0,1.78225,0.01681,0.87995,0.00326,0.0,0.0,0.0,0.09998,0.0,,0.06385,57.09867,15.67169,0.08204,2.58806,12.78065,4.92721,0.06385,57.09867,15.67169,0.00082,2.58806,12.78065,4.92721,0.0,0.0,0.87506,0.0,0.0,0.03009,0.0,0.0,0.03101,0.06385,1.0,1.0,2.0,1.0,7.0,4.0
5622.4932,34.7867,14.43376,10.80036,8.04174,7.56252,0.01891,8.5,2e-05,0.00059,0.00423,0.00293,0.01114,0.02755,0.00899,0.00137,0.0379,0.05621,0.01622,56.72687,101.4291,0.00231,0.35736,0.00154,0.0,0.04376,0.00437,0.00046,,14.93548,70.91525,8.52205,0.45988,0.33436,56.07046,5.03351,0.08207,0.27242,2.66649,3.43128,2.59055,0.00067,2.56533,2.54724,0.00067,697.2491,,,1.0,0.0,0.0,1e-05,0.0,5e-05,0.00017,0.00023,0.00051,0.00095,0.00115,0.00122,0.00104,0.00072,0.0006,0.00082,0.00134,0.0023,0.00391,0.0063,0.0083,0.00884,0.0076,0.00516,0.00288,0.00147,0.00072,0.00034,4e-05,0.00021,0.00092,113.6186,0.05681,8832.984,0.08243,5622.2579,-5595.2579,13.06743,0.0,1.78803,0.01855,0.87161,0.01161,0.0,0.0,0.0,0.09795,0.00028,,0.06039,56.65714,15.67235,0.07772,2.59342,12.97779,4.99345,0.06039,56.65714,15.67235,0.00078,2.59342,12.97779,4.99345,0.0,0.0,0.88063,0.0,0.02377,0.03521,0.0,0.0,0.0,0.06039,1.0,1.0,2.0,1.0,7.0,4.0
5622.6456,41.40255,15.50441,11.35296,8.31,7.99995,0.01667,8.5,1e-05,0.0003,0.00694,0.00232,0.00711,0.03121,0.00478,0.0022,0.03819,0.05456,0.01422,55.94802,100.9503,0.00324,0.35039,0.00223,0.0,0.04918,0.00613,0.00049,,15.80833,70.91525,8.52964,0.35118,0.32752,20.56896,5.0951,0.0714,0.27834,2.31792,3.12908,2.60079,0.00051,2.23651,2.21845,0.00051,693.2511,,,1.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.00041,0.00143,0.00208,0.00223,0.00188,0.00111,0.00036,0.0001,0.00015,0.00064,0.00241,0.00617,0.00953,0.01051,0.00843,0.0044,0.00127,0.00032,0.0,0.0,0.0,0.00035,0.00192,104.0325,0.05486,8766.864,0.07149,5622.4103,-5595.4103,13.27604,0.0,1.80436,0.02604,0.84693,0.0163,0.0,0.0,0.0,0.11019,0.00054,,0.05964,56.18949,15.71165,0.07243,2.59684,13.14784,5.05282,0.05964,56.18949,15.71165,0.00072,2.59684,13.14784,5.05282,0.0,0.00988,0.88919,0.0,0.01378,0.0275,0.0,0.0,0.0,0.05964,2.0,2.0,2.0,1.0,7.0,4.0
