seed,measurement_ratio,method,sample_id,rmse,mae,relative_l2,support_f1,m
7,0.3,ml_only_torch,0,0.49702162981501075,0.4051582775732096,0.7151425105187182,,38
7,0.3,hybrid_lfista_frozen,0,0.414611741414299,0.3361092537013182,0.5965665553748994,0.09022556390968692,38
7,0.3,hybrid_lfista_joint,0,0.4143382144059662,0.33596114953953743,0.5961729894218308,0.09160305343502569,38
7,0.3,ml_only_torch,1,0.37907820878083887,0.3094017162288967,0.5540056978815936,,38
7,0.3,hybrid_lfista_frozen,1,0.33125247085335374,0.2753105422801603,0.48411053982850466,0.08955223880588327,38
7,0.3,hybrid_lfista_joint,1,0.3309797670473658,0.27518427333266327,0.48371199552062377,0.08955223880588327,38
7,0.3,ml_only_torch,2,0.5453856330941516,0.4457390269686976,0.7476198365116061,,38
7,0.3,hybrid_lfista_frozen,2,0.4251168884325966,0.3383006225128493,0.5827542922705361,0.09022556390968692,38
7,0.3,hybrid_lfista_joint,2,0.4248127589242305,0.33786969871356365,0.5823373886347856,0.09090909090900273,38
7,0.3,ml_only_torch,3,0.4770387223234326,0.3996903922237334,0.6495855648536317,,38
7,0.3,hybrid_lfista_frozen,3,0.41023450254716887,0.33242171994213,0.5586179875747613,0.08955223880588327,38
7,0.3,hybrid_lfista_joint,3,0.410117737210216,0.3320776466426977,0.5584589877413926,0.08955223880588327,38
7,0.3,ml_only_torch,4,0.46041637625166293,0.3558188809378624,0.6616005318717273,,38
7,0.3,hybrid_lfista_frozen,4,0.39683751760809377,0.30357440033496796,0.5702401701121563,0.08955223880588327,38
7,0.3,hybrid_lfista_joint,4,0.3967001850856265,0.3034335159435131,0.5700428285869756,0.08955223880588327,38
7,0.3,ml_only_torch,5,0.45663232385606733,0.35956167388063753,0.6311134591736812,,38
7,0.3,hybrid_lfista_frozen,5,0.3829474693889493,0.30682652616630235,0.5292733112867563,0.09022556390968692,38
7,0.3,hybrid_lfista_joint,5,0.38280731176942134,0.30694611542091166,0.5290795988501443,0.09022556390968692,38
