measurement_ratio,method,rmse_mean,rmse_std_across_seeds,rmse_sem,mae_mean,mae_std_across_seeds,relative_l2_mean,relative_l2_std_across_seeds,support_f1_mean,support_f1_std_across_seeds,n_seeds,n_test_samples_per_run,rmse_ci95_half,method_label
0.2,ridge_prior_csgm,0.0157517379338745,8.710904398763727e-05,5.029242999511333e-05,0.0136480547893383,7.596846371075041e-05,0.0590943575367214,0.0003258568569412,,,3,275,9.857316279042213e-05,CLP-CSGM Ridge
0.3,ridge_prior_csgm,0.0144939857600148,0.000471892670608,0.0002724473604041,0.012446518347848,0.000452210029707,0.0543716380305311,0.0017719768289236,,,3,275,0.0005339968263922,CLP-CSGM Ridge
0.4,ridge_prior_csgm,0.0134204106277987,0.0006399797483169,0.0003694924799667,0.0114103590924861,0.0004395924861915,0.0503415403310287,0.0024067199335088,,,3,275,0.0007242052607347,CLP-CSGM Ridge
0.5,ridge_prior_csgm,0.0124555184845471,0.0003563605967695,0.0002057448864734,0.0106132150412942,0.0002675460950805,0.046726277678934,0.0013356821524871,,,3,275,0.0004032599774879,CLP-CSGM Ridge
0.6,ridge_prior_csgm,0.0118575651989707,0.0002834738697255,0.0001636637149942,0.0100606173589935,0.000238839321026,0.0444697528833106,0.0010730326647254,,,3,275,0.0003207808813888,CLP-CSGM Ridge
0.2,mlp_prior_csgm,0.0186172387529108,0.0003868721947936,0.0002233607658061,0.0154705877895806,0.0003670399041864,0.0698259648911396,0.0014850552862388,,,3,275,0.0004377871009799,CLP-CSGM MLP
0.3,mlp_prior_csgm,0.0166657415981053,0.0002398155956123,0.0001384575986826,0.0136543793310692,0.0003347465344655,0.0624931320874003,0.0009133350183494,,,3,275,0.0002713768934179,CLP-CSGM MLP
0.4,mlp_prior_csgm,0.0151818727042504,0.0013373963066964,0.0007721461176843,0.0122482690882186,0.0009162041175784,0.0569474041697659,0.0050470878453899,,,3,275,0.0015134063906613,CLP-CSGM MLP
0.5,mlp_prior_csgm,0.0131579860405273,0.0006241820502779,0.0003603716747513,0.0107261635819842,0.000509185176465,0.0493422610044605,0.0023492990656057,,,3,275,0.0007063284825125,CLP-CSGM MLP
0.6,mlp_prior_csgm,0.0124015676703495,0.0001557916766108,8.994636642875665e-05,0.0100833035648097,0.0001300567617084,0.0464973227735065,0.0005961069559417,,,3,275,0.0001762948782003,CLP-CSGM MLP
