measurement_ratio,method,rmse_mean,rmse_std_across_seeds,rmse_sem,mae_mean,mae_std_across_seeds,relative_l2_mean,relative_l2_std_across_seeds,support_f1_mean,support_f1_std_across_seeds,n_seeds,n_test_samples_per_run,rmse_ci95_half,method_label
0.2,ae_regression_ub,0.0179731165318189,0.0003878838230599,0.0002239448296579,0.0155980372453525,0.0004009134707624,0.0673731034340532,0.0014539301089084,,,3,275,0.0004389318661296,"AE [u,b]"
0.2,measurement_only_csgm,0.0257972314628232,0.0013815548530394,0.0007976410663025,0.020329075569203,0.0010930095496621,0.0966383272721751,0.0051565214975821,,,3,275,0.001563376489953,Measurement-only CSGM
0.2,ml_only,0.0254582900886628,0.0004714996130046,0.000272220428491,0.0221870740414732,0.000613958309166,0.0954950165717642,0.0017846426333094,,,3,275,0.0005335520398424,ML only
0.2,mlp_concat_ub,0.0318902894929048,0.0023181024925944,0.0013383570981085,0.0273121687335535,0.0025253803616144,0.119488428989043,0.0086856750100846,,,3,275,0.0026231799122927,"MLP [u,b]"
0.2,pca_regression_ub,0.0207937962671415,0.0013581110096019,0.000784105756983,0.0171165712855373,0.0010834440700705,0.0779117494815812,0.0050809385343211,,,3,275,0.0015368472836868,"PCA [u,b]"
0.2,ridge_prior_csgm,0.0157517379338745,8.710904398763727e-05,5.029242999511333e-05,0.0136480547893383,7.596846371075041e-05,0.0590943575367214,0.0003258568569412,,,3,275,9.857316279042213e-05,CLP-CSGM Ridge
0.2,ridge_prior_only_decoder,0.0194209542537292,0.0001655836187799,9.55997468759909e-05,0.0171583433278192,0.0001759370394723,0.0728832929193403,0.000619710970196,,,3,275,0.0001873755038769,Prior-only Ridge
0.3,ae_regression_ub,0.0153631987690875,0.0007227073300946,0.0004172552715754,0.0133005396258062,0.0005543230618206,0.0575964967177601,0.0027192332857109,,,3,275,0.0008178203322879,"AE [u,b]"
0.3,measurement_only_csgm,0.0228200920680074,0.0009257308298734,0.0005344709438245,0.0178660646547816,0.0005080797374877,0.0854696723969877,0.0034779709782262,,,3,275,0.0010475630498961,Measurement-only CSGM
0.3,ml_only,0.0254582900886628,0.0004714996130046,0.000272220428491,0.0221870740414732,0.000613958309166,0.0954950165717642,0.0017846426333094,,,3,275,0.0005335520398424,ML only
0.3,mlp_concat_ub,0.0318433245695821,0.0009288145034072,0.0005362513035693,0.0271571433113589,0.0011213982321841,0.1192401828287568,0.0033952789323962,,,3,275,0.001051052554996,"MLP [u,b]"
0.3,pca_regression_ub,0.0224070202743823,0.0009981536924972,0.0005762843030559,0.0183395197599977,0.0007438377660836,0.08397507449974,0.0037828970599409,,,3,275,0.0011295172339895,"PCA [u,b]"
0.3,ridge_prior_csgm,0.0144939857600148,0.000471892670608,0.0002724473604041,0.012446518347848,0.000452210029707,0.0543716380305311,0.0017719768289236,,,3,275,0.0005339968263922,CLP-CSGM Ridge
0.3,ridge_prior_only_decoder,0.0194209542537292,0.0001655836187799,9.55997468759909e-05,0.0171583433278192,0.0001759370394723,0.0728832929193403,0.000619710970196,,,3,275,0.0001873755038769,Prior-only Ridge
0.4,ae_regression_ub,0.0129554862416707,0.0003148823943668,0.0001817974351507,0.0110697581161866,0.0002144905587079,0.0485567162917126,0.0011744133983973,,,3,275,0.0003563229728955,"AE [u,b]"
0.4,measurement_only_csgm,0.020590520517712,0.0018839129398004,0.0010876776429236,0.0157444243008398,0.0011654914910102,0.0771399553749788,0.0070540051532897,,,3,275,0.0021318481801302,Measurement-only CSGM
