method,mean_rmse,mean_relative_l2,cells
CLP-CSGM Ridge,0.0139735057792798,0.1813103428524995,9
"AE [u,b]",0.019050173700215,0.2546405430298015,9
ML only,0.0240274961676452,0.3293177994485653,9
"PCA [u,b]",0.1465363978283748,2.082198286409187,9
"MLP [u,b]",0.201119169408444,2.793006294315408,9
