seed,measurement_ratio,method,sample_id,rmse,mae,relative_l2,support_f1,lambda,cs_engine,m,val_score,ae_recon_train_rmse,method_label
7,0.05,ml_only,0,0.024871774396482287,0.019872813084660962,0.44874242022802785,,,none,4,,,ML only
7,0.05,mlp_concat_ub,0,0.24689374197720623,0.2031078516600824,4.454515128187857,,,direct_ub,4,,,"MLP [u,b]"
7,0.05,pca_regression_ub,0,0.08570419795000175,0.0630344342541874,1.5462953546742206,,8.0,pca_mlp,4,,,"PCA [u,b]"
7,0.05,ae_regression_ub,0,0.012443672093743441,0.010304455561686158,0.22451166703490885,,32.0,ae_mlp,4,,,"AE [u,b]"
7,0.05,ml_only,1,0.019936357767869572,0.015085122784074053,0.40572353771738245,,,none,4,,,ML only
7,0.05,mlp_concat_ub,1,0.14872730946260374,0.11585091589951291,3.0267399317846295,,,direct_ub,4,,,"MLP [u,b]"
7,0.05,pca_regression_ub,1,0.06917859852157227,0.056557751321289845,1.4078492196672745,,8.0,pca_mlp,4,,,"PCA [u,b]"
7,0.05,ae_regression_ub,1,0.022689802652207505,0.019387855056322963,0.4617587178837342,,32.0,ae_mlp,4,,,"AE [u,b]"
7,0.05,ml_only,2,0.02207404252635518,0.017038338124542397,0.5052862185171767,,,none,4,,,ML only
7,0.05,mlp_concat_ub,2,0.1619186622419297,0.12142154930792923,3.706401691212732,,,direct_ub,4,,,"MLP [u,b]"
7,0.05,pca_regression_ub,2,0.15655920612284277,0.13905410609678054,3.583720976409863,,8.0,pca_mlp,4,,,"PCA [u,b]"
7,0.05,ae_regression_ub,2,0.013379178014847264,0.011193423602795526,0.30625628531425003,,32.0,ae_mlp,4,,,"AE [u,b]"
7,0.05,ml_only,3,0.027056694540059805,0.021656325154391087,0.6832872570611296,,,none,4,,,ML only
7,0.05,mlp_concat_ub,3,0.1586217279629129,0.12696415047077841,4.005818421374537,,,direct_ub,4,,,"MLP [u,b]"
7,0.05,pca_regression_ub,3,0.07795381697438161,0.05840164211063202,1.9686384713035532,,8.0,pca_mlp,4,,,"PCA [u,b]"
7,0.05,ae_regression_ub,3,0.01843039417087029,0.014539963377611787,0.46543946678054027,,32.0,ae_mlp,4,,,"AE [u,b]"
7,0.05,ml_only,4,0.028988449019497854,0.02422332125755447,0.806017776785255,,,none,4,,,ML only
7,0.05,mlp_concat_ub,4,0.1533201513848104,0.12036957142210022,4.263034820263877,,,direct_ub,4,,,"MLP [u,b]"
7,0.05,pca_regression_ub,4,0.13799719349524303,0.1053916689787061,3.836983173153813,,8.0,pca_mlp,4,,,"PCA [u,b]"
7,0.05,ae_regression_ub,4,0.01424210602730584,0.011450427894069776,0.3959987865907488,,32.0,ae_mlp,4,,,"AE [u,b]"
7,0.05,ml_only,5,0.024954252852657045,0.019605873541201725,0.733648266745665,,,none,4,,,ML only
7,0.05,mlp_concat_ub,5,0.14246045495771043,0.11662854305534827,4.188298743169728,,,direct_ub,4,,,"MLP [u,b]"
7,0.05,pca_regression_ub,5,0.16375268255460598,0.12902168524900404,4.814284460468148,,8.0,pca_mlp,4,,,"PCA [u,b]"
7,0.05,ae_regression_ub,5,0.011552757796379525,0.009493695679267496,0.33964794632366024,,32.0,ae_mlp,4,,,"AE [u,b]"
7,0.05,ml_only,6,0.022228998750295118,0.017893510861575458,0.625847489832177,,,none,4,,,ML only
7,0.05,mlp_concat_ub,6,0.11194041341095219,0.08872526556426114,3.151632132917839,,,direct_ub,4,,,"MLP [u,b]"
7,0.05,pca_regression_ub,6,0.1408271869162078,0.10863135630163472,3.9649262848811544,,8.0,pca_mlp,4,,,"PCA [u,b]"
7,0.05,ae_regression_ub,6,0.0156550216967207,0.01209285991655238,0.44076011439925256,,32.0,ae_mlp,4,,,"AE [u,b]"
