seed,measurement_ratio,method,rmse_mean,mae_mean,relative_l2_mean,support_f1_mean,n_test_samples,method_label
7,0.05,ae_regression_ub,0.016947536663930163,0.013993537722833592,0.21869759862343982,,97,"AE [u,b]"
7,0.05,measurement_only_csgm,0.040819621213479255,0.032773474263093176,0.6327671926656683,,97,Measurement-only CSGM
7,0.05,ml_only,0.022451837114466286,0.018187854070330557,0.30637591591495855,,97,ML only
7,0.05,mlp_concat_ub,0.15283037339548616,0.12284400809699193,2.0949691488329782,,97,"MLP [u,b]"
7,0.05,pca_regression_ub,0.11703129928506897,0.09454817792045672,1.60658568101254,,97,"PCA [u,b]"
7,0.05,ridge_prior_csgm,0.015067384666052711,0.012232518904021753,0.21339388715249186,,97,CLP-CSGM Ridge
7,0.05,ridge_prior_only_decoder,0.01589670087234308,0.012979601687027517,0.2268267185370295,,97,Prior-only Ridge
7,0.1,ae_regression_ub,0.016254655825621418,0.013415769874924582,0.20731603223167555,,97,"AE [u,b]"
7,0.1,measurement_only_csgm,0.029090840204670683,0.02263447399269632,0.4252372154435235,,97,Measurement-only CSGM
7,0.1,ml_only,0.022451837114466286,0.018187854070330557,0.30637591591495855,,97,ML only
7,0.1,mlp_concat_ub,0.1678709819469673,0.1355633553743751,2.3256826084398465,,97,"MLP [u,b]"
7,0.1,pca_regression_ub,0.12778845740082234,0.1013585040149615,1.7798915615626272,,97,"PCA [u,b]"
7,0.1,ridge_prior_csgm,0.014848527665090835,0.012066763886525856,0.21103968314646074,,97,CLP-CSGM Ridge
7,0.1,ridge_prior_only_decoder,0.01589670087234308,0.012979601687027517,0.2268267185370295,,97,Prior-only Ridge
7,0.2,ae_regression_ub,0.016727359102523993,0.013971946405235965,0.21458826270905462,,97,"AE [u,b]"
7,0.2,measurement_only_csgm,0.030480357892301246,0.022560656920931697,0.4603974273916527,,97,Measurement-only CSGM
7,0.2,ml_only,0.022451837114466286,0.018187854070330557,0.30637591591495855,,97,ML only
7,0.2,mlp_concat_ub,0.17238516306966,0.13932312929127438,2.4056841605340282,,97,"MLP [u,b]"
7,0.2,pca_regression_ub,0.11918590420148029,0.09597107098836857,1.658649763427618,,97,"PCA [u,b]"
7,0.2,ridge_prior_csgm,0.01262468694448058,0.010043439697463295,0.17359968994293284,,97,CLP-CSGM Ridge
7,0.2,ridge_prior_only_decoder,0.01589670087234308,0.012979601687027517,0.2268267185370295,,97,Prior-only Ridge
23,0.05,ae_regression_ub,0.017237536628497054,0.01423311514492118,0.2250012641993116,,97,"AE [u,b]"
23,0.05,measurement_only_csgm,0.040549112668655116,0.033845827286107195,0.6353172374946114,,97,Measurement-only CSGM
23,0.05,ml_only,0.021133592011807596,0.017068273788625826,0.2826496732898563,,97,ML only
23,0.05,mlp_concat_ub,0.13414009281671024,0.10872634656596547,1.8105157508838348,,97,"MLP [u,b]"
