Depth(m),HFU,hfu_source,phi_input,phi_input_source,Phi_Sonic (pu),Phi_lab (pu),alpha_hfu,matrix_k_gpa,matrix_g_gpa,matrix_rho_gcc,param_source,n_ct_plugs_calib,alpha,dem_k_gpa,dem_g_gpa,sc_k_gpa,sc_g_gpa,rho_gcc,vp_dem_m_s,vs_dem_m_s,vpvs_dem,vp_dem_km_s,vs_dem_km_s,vp_sc_m_s,vs_sc_m_s,vpvs_sc,vp_sc_km_s,vs_sc_km_s,vp_rel_diff_dem_sc,vpvs_rel_diff_dem_sc,status,error
5217.910000,2,lab,0.141000,Phi_ND,0.133000,0.140000,0.150000,68.870627,30.086505,2.766349,m3_hier_joint_vp_vs,4,0.150000,26.681511,17.521336,44.414648,21.937614,2.376294,4589.050872,2715.398335,1.690010,4.589051,2.715398,5567.752747,3038.397759,1.832463,5.567753,3.038398,0.213269,0.084291,ok,
5218.290000,2,lab,0.181000,Phi_ND,0.148000,0.181000,0.150000,68.870627,30.086505,2.766349,m3_hier_joint_vp_vs,4,0.150000,20.803218,14.766796,38.182061,19.589069,2.265640,4227.568717,2552.981671,1.655934,4.227569,2.552982,5327.369528,2940.434212,1.811763,5.327370,2.940434,0.260150,0.094103,ok,
5218.480000,3,lab,0.183000,Phi_ND,0.147000,0.167000,0.177836,68.885679,29.758722,2.754277,m3_hier_joint_vp_vs,2,0.177836,23.732360,15.729547,37.752915,19.266112,2.250244,4457.215665,2643.889327,1.685856,4.457216,2.643889,5309.704984,2926.053072,1.814630,5.309705,2.926053,0.191261,0.076385,ok,
5218.670000,4,lab,0.158000,Phi_ND,0.143000,0.149000,0.169460,69.079982,30.011709,2.760313,m3_hier_global_hfu4,0,0.169460,26.572287,17.182017,41.791240,20.892877,2.324184,4614.098287,2718.953972,1.697012,4.614098,2.718954,5474.196579,2998.222868,1.825814,5.474197,2.998223,0.186407,0.075899,ok,
5218.860000,2,lab,0.137000,Phi_ND,0.128000,0.119000,0.150000,68.870627,30.086505,2.766349,m3_hier_joint_vp_vs,4,0.150000,27.527419,17.887149,45.055138,22.171490,2.387359,4639.009675,2737.232417,1.694781,4.639010,2.737232,5590.625140,3047.463825,1.834517,5.590625,3.047464,0.205133,0.082451,ok,
5219.050000,1,lab,0.127000,Phi_ND,0.119000,0.137000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,4,0.180363,33.651843,20.269401,47.959936,23.496932,2.421553,5005.732453,2893.166962,1.730191,5.005732,2.893167,5722.160009,3115.004076,1.836967,5.722160,3.115004,0.143121,0.061713,ok,
5219.240000,2,lab,0.124000,Phi_ND,0.115000,0.107000,0.150000,68.870627,30.086505,2.766349,m3_hier_joint_vp_vs,4,0.150000,30.237704,19.013502,47.158313,22.930408,2.423322,4789.487559,2801.080039,1.709872,4.789488,2.801080,5663.630511,3076.099294,1.841173,5.663631,3.076099,0.182513,0.076790,ok,
5219.620000,2,lab,0.170000,Phi_ND,0.135000,0.211000,0.150000,68.870627,30.086505,2.766349,m3_hier_joint_vp_vs,4,0.150000,22.835994,15.764120,39.864744,20.236733,2.296070,4370.349162,2620.247609,1.667915,4.370349,2.620248,5395.710098,2968.777658,1.817485,5.395710,2.968778,0.234618,0.089675,ok,
5219.810000,1,lab,0.196000,Phi_ND,0.151000,0.219000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,4,0.180363,22.839321,15.548286,36.946765,19.311443,2.230159,4420.055772,2640.422275,1.673996,4.420056,2.640422,5302.123257,2942.656038,1.801815,5.302123,2.942656,0.199560,0.076356,ok,
5220.200000,1,lab,0.193000,Phi_ND,0.170000,0.072000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,4,0.180363,23.482472,15.860148,37.405949,19.494592,2.238480,4465.124787,2661.809688,1.677477,4.465125,2.661810,5321.863078,2951.076477,1.803363,5.321863,2.951076,0.191873,0.075045,ok,
5220.580000,1,lab,0.165000,Phi_ND,0.144000,0.123000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,4,0.180363,27.727315,17.812952,41.778007,21.198707,2.316147,4714.410619,2773.223501,1.699975,4.714411,2.773224,5499.195197,3025.322037,1.817722,5.499195,3.025322,0.166465,0.069264,ok,
5220.770000,1,lab,0.118000,Phi_ND,0.124000,0.089000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,4,0.180363,35.571014,21.006653,49.465800,24.038928,2.446517,5097.834504,2930.247450,1.739728,5.097835,2.930247,5772.339074,3134.609248,1.841486,5.772339,3.134609,0.132312,0.058491,ok,
5221.150000,1,lab,0.074000,Phi_ND,0.086000,0.071000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,4,0.180363,45.747704,24.518964,57.056793,26.676650,2.568566,5526.147898,3089.624634,1.788615,5.526148,3.089625,6005.101068,3222.703190,1.863374,6.005101,3.222703,0.086670,0.041797,ok,
5221.720000,1,lab,0.036000,Phi_ND,0.048000,0.069000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,4,0.180363,55.857452,27.469464,63.917455,28.939532,2.673971,5881.032022,3205.138001,1.834876,5.881032,3.205138,6191.430238,3289.784084,1.882017,6.191430,3.289784,0.052780,0.025692,ok,
5222.100000,1,lab,0.043000,Phi_ND,0.048000,0.112000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,4,0.180363,54.270675,27.036362,62.632483,28.523691,2.654554,5833.028911,3191.378531,1.827746,5.833029,3.191379,6158.024771,3277.985642,1.878600,6.158025,3.277986,0.055716,0.027824,ok,
5222.860000,2,lab,0.088000,Phi_ND,0.079000,0.097000,0.150000,68.870627,30.086505,2.766349,m3_hier_joint_vp_vs,4,0.150000,37.735177,21.811050,53.154415,25.022932,2.522910,5146.253901,2940.271161,1.750265,5.146254,2.940271,5856.028021,3149.330185,1.859452,5.856028,3.149330,0.137921,0.062383,ok,
5223.050000,1,lab,0.094000,Phi_ND,0.086000,0.074000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,4,0.180363,40.886386,22.918669,53.559278,25.480108,2.513089,5331.885311,3019.887437,1.765591,5.331885,3.019887,5901.757474,3184.173258,1.853466,5.901757,3.184173,0.106880,0.049771,ok,
5223.430000,1,lab,0.080000,Phi_ND,0.079000,0.076000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,4,0.180363,44.476377,24.113017,55.999316,26.318101,2.551923,5479.707107,3073.916196,1.782647,5.479707,3.073916,5974.504239,3211.393446,1.860409,5.974504,3.211393,0.090296,0.043622,ok,
5223.630000,1,lab,0.075000,Phi_ND,0.074000,0.088000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,4,0.180363,45.747704,24.518964,56.880058,26.616916,2.565792,5529.134198,3091.294250,1.788615,5.529134,3.091294,6000.025118,3220.832638,1.862880,6.000025,3.220833,0.085165,0.041521,ok,
5224.390000,2,lab,0.071000,Phi_ND,0.077000,0.071000,0.150000,68.870627,30.086505,2.766349,m3_hier_joint_vp_vs,4,0.150000,41.553999,23.082686,56.073524,26.006623,2.569938,5305.186247,2996.966114,1.770186,5.305186,2.996966,5942.369265,3181.124325,1.868009,5.942369,3.181124,0.120106,0.055262,ok,
5224.770000,2,lab,0.081000,Phi_ND,0.085000,0.095000,0.150000,68.870627,30.086505,2.766349,m3_hier_joint_vp_vs,4,0.150000,38.962839,22.230088,54.349603,25.428317,2.542275,5194.696461,2957.054668,1.756713,5.194696,2.957055,5891.908899,3162.624055,1.862981,5.891909,3.162624,0.134216,0.060493,ok,
5224.960000,1,lab,0.084000,Phi_ND,0.084000,0.095000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,4,0.180363,43.243333,23.710982,55.298245,26.078872,2.540827,5427.895303,3054.831040,1.776823,5.427895,3.054831,5953.915720,3203.736769,1.858429,5.953916,3.203737,0.096911,0.045928,ok,
5225.150000,1,lab,0.084000,Phi_ND,0.086000,0.094000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,4,0.180363,43.243333,23.710982,55.298245,26.078872,2.540827,5427.895303,3054.831040,1.776823,5.427895,3.054831,5953.915720,3203.736769,1.858429,5.953916,3.203737,0.096911,0.045928,ok,
5225.340000,2,lab,0.088000,Phi_ND,0.087000,0.080000,0.150000,68.870627,30.086505,2.766349,m3_hier_joint_vp_vs,4,0.150000,37.735177,21.811050,53.154415,25.022932,2.522910,5146.253901,2940.271161,1.750265,5.146254,2.940271,5856.028021,3149.330185,1.859452,5.856028,3.149330,0.137921,0.062383,ok,
5225.530000,2,lab,0.100000,Phi_ND,0.090000,0.131000,0.150000,68.870627,30.086505,2.766349,m3_hier_joint_vp_vs,4,0.150000,35.405839,20.987513,51.127682,24.326872,2.489714,5045.832884,2903.392504,1.737909,5.045833,2.903393,5793.401141,3125.851896,1.853383,5.793401,3.125852,0.148156,0.066444,ok,
5226.100000,2,lab,0.125000,Phi_ND,0.115000,0.131000,0.150000,68.870627,30.086505,2.766349,m3_hier_joint_vp_vs,4,0.150000,30.237704,19.013502,46.995359,22.872093,2.420555,4792.223627,2802.680199,1.709872,4.792224,2.802680,5658.085081,3073.940386,1.840662,5.658085,3.073940,0.180681,0.076491,ok,
5226.480000,1,lab,0.153000,Phi_ND,0.146000,0.142000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,4,0.180363,29.303840,18.495151,43.699363,21.926216,2.349433,4792.594526,2805.739824,1.708139,4.792595,2.805740,5571.657569,3054.923229,1.823829,5.571658,3.054923,0.162556,0.067728,ok,
5227.630000,1,lab,0.053000,Phi_ND,0.099000,0.067000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,4,0.180363,51.247481,26.181721,60.813377,27.928854,2.626816,5727.024554,3157.070361,1.814031,5.727025,3.157070,6109.604017,3260.706629,1.873706,6.109604,3.260707,0.066802,0.032896,ok,
5227.820000,1,lab,0.069000,Phi_ND,0.086000,0.113000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,4,0.180363,47.058834,24.928815,57.943403,26.975174,2.582435,5576.165601,3106.963365,1.794732,5.576166,3.106963,6030.341898,3231.970950,1.865840,6.030342,3.231971,0.081450,0.039621,ok,
5228.010000,2,lab,0.088000,Phi_ND,0.088000,0.093000,0.150000,68.870627,30.086505,2.766349,m3_hier_joint_vp_vs,4,0.150000,37.735177,21.811050,53.154415,25.022932,2.522910,5146.253901,2940.271161,1.750265,5.146254,2.940271,5856.028021,3149.330185,1.859452,5.856028,3.149330,0.137921,0.062383,ok,
5228.200000,2,lab,0.095000,Phi_ND,0.097000,0.098000,0.150000,68.870627,30.086505,2.766349,m3_hier_joint_vp_vs,4,0.150000,36.550130,21.396858,51.968750,24.617070,2.503546,5098.513490,2923.460463,1.743999,5.098513,2.923460,5819.670693,3135.742588,1.855915,5.819671,3.135743,0.141445,0.064172,ok,
5228.580000,1,lab,0.112000,Phi_ND,0.095000,0.169000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,4,0.180363,36.572842,21.381186,50.478563,24.399782,2.463160,5140.212622,2946.249829,1.744663,5.140213,2.946250,5805.278774,3147.361624,1.844491,5.805279,3.147362,0.129385,0.057219,ok,
5228.960000,2,lab,0.089000,Phi_ND,0.096000,0.148000,0.150000,68.870627,30.086505,2.766349,m3_hier_joint_vp_vs,4,0.150000,37.735177,21.811050,52.984451,24.964981,2.520144,5149.077635,2941.884479,1.750265,5.149078,2.941884,5850.863632,3147.407308,1.858947,5.850864,3.147407,0.136294,0.062095,ok,
5229.340000,2,lab,0.129000,Phi_ND,0.118000,0.185000,0.150000,68.870627,30.086505,2.766349,m3_hier_joint_vp_vs,4,0.150000,29.304352,18.633224,46.345495,22.638728,2.409490,4740.577543,2780.874789,1.704707,4.740578,2.780875,5635.787587,3065.232705,1.838617,5.635788,3.065233,0.188840,0.078553,ok,
