HFU,alpha,alpha_ct_median,matrix_k_gpa,matrix_g_gpa,matrix_k_gpa_ct,matrix_g_gpa_ct,matrix_k_scale,matrix_g_scale,matrix_rho_gcc,param_source,n_ct_plugs,n_plugs_calib,lambda_alpha,lambda_s
1,0.180363,0.554259,70.676511,31.071302,83.984587,36.921892,0.841541,0.841541,2.773829,m3_hier_joint_vp_vs,4,4,1.000000,1.000000
2,0.150000,0.553722,68.870627,30.086505,83.151246,36.325071,0.828257,0.828257,2.766349,m3_hier_joint_vp_vs,4,4,1.000000,1.000000
3,0.177836,0.614844,68.885679,29.758722,81.777313,35.327928,0.842357,0.842357,2.754277,m3_hier_joint_vp_vs,2,2,1.000000,1.000000
4,0.169460,,69.079982,30.011709,82.464280,35.826499,0.837696,0.837696,2.760313,m3_hier_global_hfu4,0,0,1.000000,1.000000
