model,n,mape_vp_pct,rmse_vp_km_s,bias_vp_km_s,mape_vs_pct,rmse_vs_km_s,bias_vs_km_s,mae_vpvs,joint_rel_sq,frac_alpha_at_bound,alpha_std,scale_std
M0,10,12.585240,0.734047,-0.067812,12.193279,0.466962,-0.229475,0.113353,0.021027,0.500000,0.337990,0.074243
M1,10,13.145776,0.767757,0.016630,12.256159,0.454891,-0.162070,0.098865,0.022326,0.500000,0.335019,0.067889
M2,10,11.939410,0.766768,-0.041532,10.898835,0.452682,-0.193954,0.101400,0.020803,0.100000,0.290462,0.076000
M3,10,12.261880,0.763614,-0.000577,11.017015,0.437860,-0.110349,0.062884,0.021442,0.000000,0.037105,0.019927
