seed,measurement_ratio,method,rmse_mean,mae_mean,relative_l2_mean,support_f1_mean,n_test_samples,method_label
7,0.05,ae_regression_ub,0.016947536663930163,0.013993537722833592,0.21869759862343982,,97,"AE [u,b]"
7,0.05,ml_only,0.022451837114466286,0.018187854070330557,0.30637591591495855,,97,ML only
7,0.05,mlp_concat_ub,0.15283037339548616,0.12284400809699193,2.0949691488329782,,97,"MLP [u,b]"
7,0.05,mlp_prior_csgm,0.018377330307525423,0.014635592749644636,0.24878617074302598,,97,CLP-CSGM MLP
7,0.05,pca_regression_ub,0.11703129928506897,0.09454817792045672,1.60658568101254,,97,"PCA [u,b]"
7,0.1,ae_regression_ub,0.016254655825621418,0.013415769874924582,0.20731603223167555,,97,"AE [u,b]"
7,0.1,ml_only,0.022451837114466286,0.018187854070330557,0.30637591591495855,,97,ML only
7,0.1,mlp_concat_ub,0.1678709819469673,0.1355633553743751,2.3256826084398465,,97,"MLP [u,b]"
7,0.1,mlp_prior_csgm,0.016968715792935175,0.01338476281832692,0.2279509899579515,,97,CLP-CSGM MLP
7,0.1,pca_regression_ub,0.12778845740082234,0.1013585040149615,1.7798915615626272,,97,"PCA [u,b]"
7,0.2,ae_regression_ub,0.016727359102523993,0.013971946405235965,0.21458826270905462,,97,"AE [u,b]"
7,0.2,ml_only,0.022451837114466286,0.018187854070330557,0.30637591591495855,,97,ML only
7,0.2,mlp_concat_ub,0.17238516306966,0.13932312929127438,2.4056841605340282,,97,"MLP [u,b]"
7,0.2,mlp_prior_csgm,0.01427760145318968,0.011150921840218948,0.19158240007443167,,97,CLP-CSGM MLP
7,0.2,pca_regression_ub,0.11918590420148029,0.09597107098836857,1.658649763427618,,97,"PCA [u,b]"
23,0.05,ae_regression_ub,0.017237536628497054,0.01423311514492118,0.2250012641993116,,97,"AE [u,b]"
23,0.05,ml_only,0.021133592011807596,0.017068273788625826,0.2826496732898563,,97,ML only
23,0.05,mlp_concat_ub,0.13414009281671024,0.10872634656596547,1.8105157508838348,,97,"MLP [u,b]"
23,0.05,mlp_prior_csgm,0.019431604724269233,0.015540788964004421,0.2592319074450021,,97,CLP-CSGM MLP
23,0.05,pca_regression_ub,0.12422882877927523,0.09950543310777579,1.75267964626779,,97,"PCA [u,b]"
23,0.1,ae_regression_ub,0.016658872926130823,0.013726261392743364,0.21256990713797297,,97,"AE [u,b]"
23,0.1,ml_only,0.021133592011807596,0.017068273788625826,0.2826496732898563,,97,ML only
23,0.1,mlp_concat_ub,0.11900140537035167,0.09692330439303574,1.5450080969410107,,97,"MLP [u,b]"
23,0.1,mlp_prior_csgm,0.017948144958808004,0.01409697793113876,0.23835680705938042,,97,CLP-CSGM MLP
23,0.1,pca_regression_ub,0.11159964840942212,0.09034251642110616,1.5766083951040395,,97,"PCA [u,b]"
23,0.2,ae_regression_ub,0.016607457350886035,0.013697408238674203,0.21220331033703038,,97,"AE [u,b]"
23,0.2,ml_only,0.021133592011807596,0.017068273788625826,0.2826496732898563,,97,ML only
23,0.2,mlp_concat_ub,0.15460911916555403,0.12418756033164181,2.0711845502338067,,97,"MLP [u,b]"
23,0.2,mlp_prior_csgm,0.013465599301646331,0.010553608691746033,0.17953180236339603,,97,CLP-CSGM MLP
23,0.2,pca_regression_ub,0.10290198519352962,0.0837171832285106,1.4365633354408789,,97,"PCA [u,b]"
41,0.05,ae_regression_ub,0.01715977551021215,0.013999993175235245,0.22002061955797764,,97,"AE [u,b]"
41,0.05,ml_only,0.02285828407650991,0.01841509751085688,0.31224264672390467,,97,ML only
41,0.05,mlp_concat_ub,0.1527090692974189,0.12316894010486697,2.0717092562616792,,97,"MLP [u,b]"
41,0.05,mlp_prior_csgm,0.017120268330733487,0.013714132549409858,0.2277142268558781,,97,CLP-CSGM MLP
41,0.05,pca_regression_ub,0.12959617262246237,0.103226319883847,1.841320996909122,,97,"PCA [u,b]"
41,0.1,ae_regression_ub,0.01628721520614322,0.013298007366384703,0.20782909833455804,,97,"AE [u,b]"
41,0.1,ml_only,0.02285828407650991,0.01841509751085688,0.31224264672390467,,97,ML only
41,0.1,mlp_concat_ub,0.16729073825007812,0.13548698687410837,2.342710274541366,,97,"MLP [u,b]"
41,0.1,mlp_prior_csgm,0.016482039576774122,0.01302605111468011,0.2212562206837395,,97,CLP-CSGM MLP
41,0.1,pca_regression_ub,0.12497853163067861,0.10102679536763622,1.7517798364353683,,97,"PCA [u,b]"
41,0.2,ae_regression_ub,0.01589876135304795,0.013037268531976075,0.20298962827345562,,97,"AE [u,b]"
41,0.2,ml_only,0.02285828407650991,0.01841509751085688,0.31224264672390467,,97,ML only
41,0.2,mlp_concat_ub,0.15993250641664447,0.12866827622776805,2.13696834466196,,97,"MLP [u,b]"
41,0.2,mlp_prior_csgm,0.013624636891963613,0.01058112835664007,0.1763090813784273,,97,CLP-CSGM MLP
41,0.2,pca_regression_ub,0.11544960219426856,0.09357078165357949,1.648278852353185,,97,"PCA [u,b]"
