seed,measurement_ratio,method,sample_id,rmse,mae,relative_l2,support_f1,lambda,cs_engine,m,val_score,ae_recon_train_rmse,method_label
41,0.05,mlp_prior_csgm,56,0.013240575578482893,0.010125445669604834,0.09549247614956363,,0.0003,csgm_m2,4,0.019970892042622177,0.008848604019402462,CLP-CSGM MLP
41,0.05,mlp_prior_csgm,57,0.018236432181169084,0.014781806537045614,0.12923657588732781,,0.0003,csgm_m2,4,0.019970892042622177,0.008848604019402462,CLP-CSGM MLP
41,0.05,mlp_prior_csgm,58,0.02999879343553586,0.025130173491486767,0.21848591405306111,,0.0003,csgm_m2,4,0.019970892042622177,0.008848604019402462,CLP-CSGM MLP
41,0.05,mlp_prior_csgm,59,0.02312592987412938,0.020582791974124243,0.17481418107716595,,0.0003,csgm_m2,4,0.019970892042622177,0.008848604019402462,CLP-CSGM MLP
41,0.05,mlp_prior_csgm,60,0.016451254152169255,0.013311684116899501,0.12653625479404285,,0.0003,csgm_m2,4,0.019970892042622177,0.008848604019402462,CLP-CSGM MLP
41,0.05,mlp_prior_csgm,61,0.029467127586959272,0.025287476044689047,0.2309000929090394,,0.0003,csgm_m2,4,0.019970892042622177,0.008848604019402462,CLP-CSGM MLP
41,0.05,mlp_prior_csgm,62,0.025007963845547414,0.021149593215103922,0.20886979606277647,,0.0003,csgm_m2,4,0.019970892042622177,0.008848604019402462,CLP-CSGM MLP
41,0.05,mlp_prior_csgm,63,0.027022858795198033,0.01977855998478307,0.24389885064621142,,0.0003,csgm_m2,4,0.019970892042622177,0.008848604019402462,CLP-CSGM MLP
41,0.05,mlp_prior_csgm,64,0.01876644412195483,0.014144459367840015,0.1927581668434775,,0.0003,csgm_m2,4,0.019970892042622177,0.008848604019402462,CLP-CSGM MLP
41,0.05,mlp_prior_csgm,65,0.017640772602395424,0.01276528279278727,0.20192402525371467,,0.0003,csgm_m2,4,0.019970892042622177,0.008848604019402462,CLP-CSGM MLP
41,0.05,mlp_prior_csgm,66,0.030018594605019468,0.02493456347937222,0.3611944661982258,,0.0003,csgm_m2,4,0.019970892042622177,0.008848604019402462,CLP-CSGM MLP
41,0.05,mlp_prior_csgm,67,0.019708641182778402,0.0142086565087563,0.2537504844161126,,0.0003,csgm_m2,4,0.019970892042622177,0.008848604019402462,CLP-CSGM MLP
41,0.05,mlp_prior_csgm,68,0.019113034484663435,0.01629144106360836,0.2552423113026312,,0.0003,csgm_m2,4,0.019970892042622177,0.008848604019402462,CLP-CSGM MLP
41,0.05,mlp_prior_csgm,69,0.01813225216725606,0.01241571751840572,0.23866774520653045,,0.0003,csgm_m2,4,0.019970892042622177,0.008848604019402462,CLP-CSGM MLP
41,0.05,mlp_prior_csgm,70,0.013499485233390361,0.010998212864549401,0.16709731896664154,,0.0003,csgm_m2,4,0.019970892042622177,0.008848604019402462,CLP-CSGM MLP
41,0.05,mlp_prior_csgm,71,0.014207057677690729,0.012183219106961867,0.16783068171830864,,0.0003,csgm_m2,4,0.019970892042622177,0.008848604019402462,CLP-CSGM MLP
41,0.05,mlp_prior_csgm,72,0.011688331619327226,0.009157527022127136,0.13020936064915617,,0.0003,csgm_m2,4,0.019970892042622177,0.008848604019402462,CLP-CSGM MLP
41,0.05,mlp_prior_csgm,73,0.015786237418191677,0.012371128721236562,0.1715685089462959,,0.0003,csgm_m2,4,0.019970892042622177,0.008848604019402462,CLP-CSGM MLP
41,0.05,mlp_prior_csgm,74,0.014930975975408082,0.012851557446592318,0.16417672603061925,,0.0003,csgm_m2,4,0.019970892042622177,0.008848604019402462,CLP-CSGM MLP
41,0.05,mlp_prior_csgm,75,0.014925906727066963,0.012671957851212334,0.1688118034652381,,0.0003,csgm_m2,4,0.019970892042622177,0.008848604019402462,CLP-CSGM MLP
41,0.05,mlp_prior_csgm,76,0.021676337383106026,0.01673698968095303,0.25706266120118604,,0.0003,csgm_m2,4,0.019970892042622177,0.008848604019402462,CLP-CSGM MLP
41,0.05,mlp_prior_csgm,77,0.01822867802189498,0.015333164176689052,0.22935071126189746,,0.0003,csgm_m2,4,0.019970892042622177,0.008848604019402462,CLP-CSGM MLP
41,0.05,mlp_prior_csgm,78,0.015654689858821173,0.013088167248732298,0.2071481843707513,,0.0003,csgm_m2,4,0.019970892042622177,0.008848604019402462,CLP-CSGM MLP
41,0.05,mlp_prior_csgm,79,0.019548400423490382,0.01637992735373451,0.27392604803782983,,0.0003,csgm_m2,4,0.019970892042622177,0.008848604019402462,CLP-CSGM MLP
41,0.05,mlp_prior_csgm,80,0.020128916660976968,0.01728756739782703,0.2992560738306504,,0.0003,csgm_m2,4,0.019970892042622177,0.008848604019402462,CLP-CSGM MLP
41,0.05,mlp_prior_csgm,81,0.012507551462292392,0.008617142313208231,0.1849820708407169,,0.0003,csgm_m2,4,0.019970892042622177,0.008848604019402462,CLP-CSGM MLP
41,0.05,mlp_prior_csgm,82,0.01462275969572339,0.01200053423596402,0.20714550777078522,,0.0003,csgm_m2,4,0.019970892042622177,0.008848604019402462,CLP-CSGM MLP
41,0.05,mlp_prior_csgm,83,0.017626875481377438,0.014112324647036118,0.2307896075761995,,0.0003,csgm_m2,4,0.019970892042622177,0.008848604019402462,CLP-CSGM MLP
41,0.05,mlp_prior_csgm,84,0.013662999002477177,0.010994739854174027,0.16835928397675934,,0.0003,csgm_m2,4,0.019970892042622177,0.008848604019402462,CLP-CSGM MLP
41,0.05,mlp_prior_csgm,85,0.019188097923608823,0.015187753503694192,0.22972358930786307,,0.0003,csgm_m2,4,0.019970892042622177,0.008848604019402462,CLP-CSGM MLP
41,0.05,mlp_prior_csgm,86,0.018258738227678806,0.014237884477646866,0.21062443117354243,,0.0003,csgm_m2,4,0.019970892042622177,0.008848604019402462,CLP-CSGM MLP
41,0.05,mlp_prior_csgm,87,0.015521828647545598,0.013370283010635857,0.1764671220510787,,0.0003,csgm_m2,4,0.019970892042622177,0.008848604019402462,CLP-CSGM MLP
41,0.05,mlp_prior_csgm,88,0.020807386769521905,0.016300557559907437,0.23352604794252332,,0.0003,csgm_m2,4,0.019970892042622177,0.008848604019402462,CLP-CSGM MLP
41,0.05,mlp_prior_csgm,89,0.009851151870957878,0.007269918072678525,0.11014964915375901,,0.0003,csgm_m2,4,0.019970892042622177,0.008848604019402462,CLP-CSGM MLP
41,0.05,mlp_prior_csgm,90,0.013912029128640887,0.01091212999850753,0.15309580621094318,,0.0003,csgm_m2,4,0.019970892042622177,0.008848604019402462,CLP-CSGM MLP
41,0.05,mlp_prior_csgm,91,0.011107314661239577,0.00917064432113382,0.12344782322270888,,0.0003,csgm_m2,4,0.019970892042622177,0.008848604019402462,CLP-CSGM MLP
41,0.05,mlp_prior_csgm,92,0.013847392827787094,0.011737430523105125,0.15674137557895784,,0.0003,csgm_m2,4,0.019970892042622177,0.008848604019402462,CLP-CSGM MLP
41,0.05,mlp_prior_csgm,93,0.01432795862926143,0.012084024172965974,0.16190835169016637,,0.0003,csgm_m2,4,0.019970892042622177,0.008848604019402462,CLP-CSGM MLP
41,0.05,mlp_prior_csgm,94,0.01096987049858337,0.009105221995260392,0.12761284938194054,,0.0003,csgm_m2,4,0.019970892042622177,0.008848604019402462,CLP-CSGM MLP
41,0.05,mlp_prior_csgm,95,0.013976116367477155,0.012038339496569253,0.1648079382468569,,0.0003,csgm_m2,4,0.019970892042622177,0.008848604019402462,CLP-CSGM MLP
41,0.05,mlp_prior_csgm,96,0.012985083022395764,0.01116753467450234,0.15610839994103654,,0.0003,csgm_m2,4,0.019970892042622177,0.008848604019402462,CLP-CSGM MLP
41,0.1,ml_only,0,0.02428933824461154,0.019915667085979576,0.438233969795326,,,none,6,,,ML only
