model,orientation,n,mape_vp_pct,mape_vs_pct,mae_vpvs
G_huber,H,8,9.629905,10.632156,0.087265
G_huber,V,2,13.335130,11.279230,0.134791
P0,H,8,12.100265,13.039409,0.111347
P0,V,2,14.525139,8.808760,0.121378
P1,H,8,10.825986,11.223085,0.062751
P1,V,2,13.317398,10.601305,0.121239
P2,H,8,10.866869,11.876338,0.090395
P2,V,2,13.232794,10.622080,0.120199
P3,H,8,10.581043,10.367878,0.044392
P3,V,2,13.631858,12.038568,0.066546
