model,n,mape_vp_pct,rmse_vp_km_s,bias_vp_km_s,mape_vs_pct,rmse_vs_km_s,mae_vpvs,joint_rel_sq,frac_alpha_at_bound,alpha_std,scale_std,d_mape_vp_vs_p0,d_joint_vs_p0
G_huber,10,10.370950,0.748568,-0.145017,10.761571,0.462466,0.096770,0.020166,0.100000,0.198784,0.050442,-2.214289,-0.000860
P0,10,12.585240,0.734047,-0.067812,12.193279,0.466962,0.113353,0.021027,0.500000,0.337990,0.074243,0.000000,0.000000
P1,10,11.324269,0.752601,-0.140874,11.098729,0.452264,0.074449,0.020090,0.100000,0.166562,0.067790,-1.260971,-0.000936
P2,10,11.340054,0.755527,-0.114315,11.625487,0.464043,0.096356,0.020687,0.100000,0.180689,0.081853,-1.245186,-0.000339
P3,10,11.191206,0.735373,-0.097682,10.702016,0.435368,0.048823,0.019542,0.100000,0.025512,0.024126,-1.394034,-0.001485
