measurement_ratio,method,rmse_mean,rmse_std_across_seeds,rmse_sem,mae_mean,mae_std_across_seeds,relative_l2_mean,relative_l2_std_across_seeds,support_f1_mean,support_f1_std_across_seeds,n_seeds,n_test_samples_per_run,rmse_ci95_half
0.3,cs_only,0.6018913057468357,0.0,0.0,0.4811594412343483,0.0,0.8551514801795961,0.0,0.09109432252169697,0.0,1,100,0.0
0.3,hybrid,0.3846757109706097,0.0,0.0,0.3070284544154713,0.0,0.5463136577497725,0.0,0.09462926963708092,0.0,1,100,0.0
0.3,ml_only,0.4416907667682915,0.0,0.0,0.34945977037963977,0.0,0.6274936297796571,0.0,,0.0,1,100,0.0
0.3,weighted_hybrid,0.3912191127804225,0.0,0.0,0.31249683415265067,0.0,0.5555784447965982,0.0,0.09365332254979299,0.0,1,100,0.0
0.5,cs_only,0.522973604743555,0.0,0.0,0.41804220868767444,0.0,0.743194657914836,0.0,0.09105792968699035,0.0,1,100,0.0
0.5,hybrid,0.33034652270415743,0.0,0.0,0.26399087550176664,0.0,0.4692031229762283,0.0,0.09416258010313225,0.0,1,100,0.0
0.5,ml_only,0.4416907667682915,0.0,0.0,0.34945977037963977,0.0,0.6274936297796571,0.0,,0.0,1,100,0.0
0.5,weighted_hybrid,0.34318406693341674,0.0,0.0,0.27520883364716936,0.0,0.48770582132899143,0.0,0.09349634093209197,0.0,1,100,0.0
