seed,measurement_ratio,method,rmse_mean,mae_mean,relative_l2_mean,support_f1_mean,n_test_samples
7,0.2,hybrid_lfista_frozen,0.30728394702585654,0.23900469040079528,0.4632395428827709,0.08999091306431499,300
7,0.2,hybrid_lfista_joint,0.30738721882640374,0.23901358187004584,0.46338918857418177,0.09102655249454257,300
7,0.2,ml_only_torch,0.3563468175483612,0.2721380751463388,0.5372330592486203,,300
7,0.3,hybrid_lfista_frozen,0.2847166955838796,0.22093468395678167,0.42948893109487246,0.0902148896453707,300
7,0.3,hybrid_lfista_joint,0.2850516505042467,0.22124269256141418,0.42999584999423024,0.09099982289467097,300
7,0.3,ml_only_torch,0.35512918879593947,0.27041228983974563,0.5357939804303646,,300
7,0.4,hybrid_lfista_frozen,0.26072517805615736,0.20372484043848618,0.3932393394051461,0.09022643085112843,300
7,0.4,hybrid_lfista_joint,0.26060541398939646,0.20373622533473607,0.393073547145687,0.09040130447096059,300
7,0.4,ml_only_torch,0.35731153672785376,0.2720216869176401,0.5391268612129725,,300
7,0.5,hybrid_lfista_frozen,0.24233612540353544,0.1908882435260164,0.36577629637258613,0.0901300762092429,300
7,0.5,hybrid_lfista_joint,0.24153376356098805,0.1903263765326689,0.36453964063353594,0.09008386727221489,300
7,0.5,ml_only_torch,0.36378100705135885,0.2769002327834683,0.548980997952301,,300
7,0.6,hybrid_lfista_frozen,0.21645006945252812,0.17142207070071597,0.32678990076627407,0.08991401762446548,300
7,0.6,hybrid_lfista_joint,0.214558576172067,0.1701492473657419,0.32391464848516904,0.08989963456750653,300
7,0.6,ml_only_torch,0.36619524828039074,0.2789133091409176,0.5527534881669469,,300
13,0.2,hybrid_lfista_frozen,0.31693024121943475,0.24594182918872085,0.45744586313783636,0.0898005056946087,300
13,0.2,hybrid_lfista_joint,0.3170782076174811,0.24606446663915718,0.4576623803106624,0.09206985894365216,300
13,0.2,ml_only_torch,0.3593639887774612,0.2750745814516242,0.5188099448083,,300
13,0.3,hybrid_lfista_frozen,0.30079238428273436,0.23510494954602654,0.434273524712627,0.09011870702997671,300
13,0.3,hybrid_lfista_joint,0.3009755256689799,0.23534873423604727,0.4345445590330337,0.0903655485877846,300
13,0.3,ml_only_torch,0.36642714264494924,0.28087322432657646,0.5290979507867607,,300
13,0.4,hybrid_lfista_frozen,0.2777972492282432,0.21769384567636596,0.4008604079533517,0.08998593708302662,300
13,0.4,hybrid_lfista_joint,0.2776711993637579,0.21774113067294848,0.4006625223113375,0.09022219924786815,300
13,0.4,ml_only_torch,0.371539894715628,0.28503954963324235,0.5363634611987421,,300
13,0.5,hybrid_lfista_frozen,0.2585710271378081,0.20430404236568578,0.3733623472558493,0.08981812863564399,300
13,0.5,hybrid_lfista_joint,0.2577868961007554,0.20379427570231004,0.3722250400818928,0.08985913560002191,300
13,0.5,ml_only_torch,0.37600456773241653,0.28956931880772163,0.5427175716742291,,300
13,0.6,hybrid_lfista_frozen,0.2316710015848191,0.18272964569342687,0.3341540609915294,0.08987182545076934,300
13,0.6,hybrid_lfista_joint,0.22952670746140802,0.1811283037698049,0.33104670939289293,0.08999215626985241,300
13,0.6,ml_only_torch,0.37259769754360705,0.2856171560216486,0.5376228245579646,,300
23,0.2,hybrid_lfista_frozen,0.3165332094303261,0.2469475069871593,0.4687970389462085,0.08976546834561606,300
23,0.2,hybrid_lfista_joint,0.31666326254287347,0.24707098633625837,0.4689851024955642,0.08995781917580525,300
23,0.2,ml_only_torch,0.36233660225844794,0.279239175511844,0.5365797201950598,,300
23,0.3,hybrid_lfista_frozen,0.29483931727704726,0.23137317756183412,0.4367338868433908,0.08988110315151668,300
23,0.3,hybrid_lfista_joint,0.2950276080012284,0.23160335411665842,0.43700561661675635,0.09025645590806342,300
23,0.3,ml_only_torch,0.3626657601211171,0.2780234893606003,0.5370411749697074,,300
23,0.4,hybrid_lfista_frozen,0.2706288863148951,0.21325767991089967,0.4009300902084068,0.08982113561637564,300
23,0.4,hybrid_lfista_joint,0.27057852197992355,0.21328987327974708,0.40084555672888506,0.09007332885274472,300
23,0.4,ml_only_torch,0.3628666281372032,0.2782955560045634,0.5373617981941773,,300
23,0.5,hybrid_lfista_frozen,0.24818822140281416,0.196504300407854,0.3675388610793709,0.08994109710554454,300
