ct_sample_id,depth_m,HFU,group_id
F2829V,5206.0,3,0
F2830H,5206.05,3,0
F2852H,5211.4,1,1
F2854H,5212.05,2,2
F2859H,5212.9,1,3
F2870H,5215.55,1,4
F2880H,5218.25,2,5
F2910H,5225.7,2,6
F2911V,5225.75,2,6
F2935H,5232.25,1,7
