step,measurement_ratio,method,rmse_mean,rmse_std_across_seeds,mae_mean,relative_l2_mean,relative_l2_std_across_seeds,lambda_mean,n_seeds,n_test_samples_per_run
8,0.05,ridge_prior_csgm,0.01541041310261825,0.0021720535314992137,0.011827250099934801,0.20439237324826096,0.02751256855773677,0.0007666666666666667,3,97
8,0.1,ridge_prior_csgm,0.014317946862804192,0.0014310196459795216,0.010925557607591707,0.18779138068424353,0.018262032578423112,0.001,3,97
8,0.2,ridge_prior_csgm,0.011669591579045643,0.00030530655163339205,0.00877103727489334,0.15073905768714455,0.0032283745610031957,0.0005333333333333333,3,97
16,0.05,ridge_prior_csgm,0.014932685067860454,0.0007329847314336913,0.011443368480095069,0.19358266378284558,0.012720012081931003,0.0023333333333333335,3,49
16,0.1,ridge_prior_csgm,0.013913872594051128,0.0013519202271242248,0.010578791931740154,0.17601250144706557,0.025996618197848737,0.003766666666666667,3,49
16,0.2,ridge_prior_csgm,0.012471986166938474,0.00044079244963869576,0.00963610937903199,0.1574033052121571,0.00758312544777777,0.001,3,49
32,0.05,ridge_prior_csgm,0.015623437792163205,0.001705272695064159,0.012329026262315896,0.2057268345207278,0.025962258640844837,0.03376666666666667,3,25
32,0.1,ridge_prior_csgm,0.01483615533666665,0.002067522569581418,0.011658589996723666,0.19449947972573592,0.029618477817330197,0.003766666666666667,3,25
32,0.2,ridge_prior_csgm,0.012585463511371436,0.0005831083146283039,0.009743189718092965,0.16164548936431536,0.012934242775719237,0.0003,3,25
