step,n_train_approx,measurement_ratio,method,rmse_mean,rmse_std_across_seeds,rmse_sem,mae_mean,mae_std_across_seeds,relative_l2_mean,relative_l2_std_across_seeds,support_f1_mean,support_f1_std_across_seeds,lambda_mean,val_rmse_selected_mean,n_seeds,n_test_samples_per_run,rmse_ci95_half
8,104,0.05,ridge_prior_csgm,0.015410413102618202,0.002172053531499212,0.0012540356911053473,0.011827250099934766,0.0016336266026151388,0.20439237324826096,0.02751256855773677,,,0.0007666666666666667,0.0163527859231604,3,97,0.002457909954566481
8,104,0.05,ae_regression_ub,0.017092801022301932,6.107302971084154e-05,3.5260530143780374e-05,0.014077267211548,9.484930983704742e-05,0.22082470395589301,0.0023169974395153433,,,,,3,97,6.911063908180953e-05
8,104,0.05,ml_only,0.022147904400927898,0.0009016218721175943,0.0005205516305743475,0.017890408456604365,0.0007209985815067392,0.30042274530957314,0.015668956549805435,,,,,3,97,0.001020281195925721
8,104,0.05,mlp_concat_ub,0.1470520489503624,0.01114403240817312,0.0064340101107166646,0.11852777091148703,0.00842614686627182,1.9931459756168002,0.16336182724855558,,,,,3,97,0.012610659817004662
8,104,0.05,pca_regression_ub,0.12492908778157558,0.0012711230555120122,0.0007338832382729999,0.10011027331671059,0.001288559329016939,1.751491874922312,0.042499035253236686,,,,,3,97,0.00143841114701508
8,104,0.1,ridge_prior_csgm,0.014317946862804132,0.0014310196459795537,0.0008261995778219383,0.010925557607591667,0.0009306820135244286,0.18779138068424353,0.01826203257842309,,,0.001,0.015769415517304566,3,97,0.001619351172530999
8,104,0.1,ae_regression_ub,0.01634590349596503,0.00017454883763099393,0.00010077581839299063,0.013438078953446266,0.00016061340312777103,0.20896960093696468,0.0028511732597027288,,,,,3,97,0.00019752060405026163
8,104,0.1,ml_only,0.022147904400927898,0.0009016218721175943,0.0005205516305743475,0.017890408456604365,0.0007209985815067392,0.30042274530957314,0.015668956549805435,,,,,3,97,0.001020281195925721
8,104,0.1,mlp_concat_ub,0.15480744613681965,0.03174629666572477,0.018328732925729913,0.1254155297041187,0.025266410135874554,2.109611919830641,0.49598966093876246,,,,,3,97,0.03592431653443063
8,104,0.1,pca_regression_ub,0.1217401997626081,0.00942404980219124,0.005440977690151553,0.09795129037842953,0.007007196416812639,1.7049722358172195,0.12324320322156679,,,,,3,97,0.010664316272697044
8,104,0.2,ridge_prior_csgm,0.011669591579045601,0.0003053065516333901,0.00017626881977089417,0.008771037274893268,0.00015481267548082806,0.15073905768714455,0.0032283745610031823,,,0.0005333333333333333,0.014859052172961934,3,97,0.00034548688675095255
