step,n_train_approx,seed,measurement_ratio,method,rmse_mean,mae_mean,relative_l2_mean,support_f1_mean,n_test_samples,lambda,val_rmse_selected,ae_recon_train_rmse
16,52,23,0.05,pca_regression_ub,0.161118109658312,0.1298980221709462,2.2720780768782305,,49,,,
16,52,23,0.1,ridge_prior_csgm,0.0131420758643751,0.009700863679449,0.1580405375363371,,49,0.0003,0.0148844316855927,0.009687752709203
16,52,23,0.1,ae_regression_ub,0.0189965015176317,0.0157221601190508,0.2478784717680892,,49,,,
16,52,23,0.1,ml_only,0.0231997728692317,0.0189369375470105,0.3170377113759048,,49,,,
16,52,23,0.1,mlp_concat_ub,0.159641127390311,0.1293050777800851,2.1500864032272937,,49,,,
16,52,23,0.1,pca_regression_ub,0.1500190238465986,0.1209170099294149,2.150856504632542,,49,,,
16,52,23,0.2,ridge_prior_csgm,0.012785942707419,0.0098028818962446,0.1594085531692369,,49,0.001,0.0147331939901781,0.009687752709203
16,52,23,0.2,ae_regression_ub,0.0185949404747965,0.0154707886593966,0.2445505590875432,,49,,,
16,52,23,0.2,ml_only,0.0231997728692317,0.0189369375470105,0.3170377113759048,,49,,,
16,52,23,0.2,mlp_concat_ub,0.2263944597651416,0.1819066088303895,3.090919661323797,,49,,,
16,52,23,0.2,pca_regression_ub,0.1232736996801466,0.0981679632957747,1.7345138403218423,,49,,,
16,52,41,0.05,ridge_prior_csgm,0.0141153873444578,0.0108786104347373,0.1803202929330116,,49,0.003,0.0159275338755688,0.0104057196787221
16,52,41,0.05,ae_regression_ub,0.0190338442197388,0.0154508809764328,0.2493423666391199,,49,,,
16,52,41,0.05,ml_only,0.023661073256168,0.0189712194452156,0.3186243274183922,,49,,,
16,52,41,0.05,mlp_concat_ub,0.1909947584643608,0.1532319865217847,2.6646058479337675,,49,,,
16,52,41,0.05,pca_regression_ub,0.1352205616452632,0.1090685103589513,1.928369633308846,,49,,,
16,52,41,0.1,ridge_prior_csgm,0.0131246387720463,0.0101088920520101,0.1641758864794153,,49,0.001,0.0152244521519587,0.0104057196787221
16,52,41,0.1,ae_regression_ub,0.0176875390584115,0.0145637885359468,0.2304937143003237,,49,,,
16,52,41,0.1,ml_only,0.023661073256168,0.0189712194452156,0.3186243274183922,,49,,,
16,52,41,0.1,mlp_concat_ub,0.1985686128744245,0.1603081171425112,2.777544239462548,,49,,,
16,52,41,0.1,pca_regression_ub,0.1357326036676417,0.109508340814262,1.911083807637744,,49,,,
16,52,41,0.2,ridge_prior_csgm,0.0119680620051306,0.0092397667079921,0.1490190806599133,,49,0.001,0.0146623807286102,0.0104057196787221
16,52,41,0.2,ae_regression_ub,0.017872236575619,0.0146097160296156,0.2303049776585101,,49,,,
16,52,41,0.2,ml_only,0.023661073256168,0.0189712194452156,0.3186243274183922,,49,,,
16,52,41,0.2,mlp_concat_ub,0.1864009952534251,0.1493646702403302,2.4829896215287057,,49,,,
16,52,41,0.2,pca_regression_ub,0.1269680655746931,0.1025555513880467,1.8105161197758544,,49,,,
32,27,7,0.05,ridge_prior_csgm,0.0174321848208591,0.0138144015987066,0.2315250175555654,,25,0.1,0.0157768362374193,0.0076522804175926
32,27,7,0.05,ae_regression_ub,0.0203052794492112,0.0169530813337067,0.2729344360715453,,25,,,
32,27,7,0.05,ml_only,0.0267338393226332,0.0217410030965116,0.3709447981169602,,25,,,
32,27,7,0.05,mlp_concat_ub,0.2850565329499741,0.2271620493116884,4.067218199395483,,25,,,
32,27,7,0.05,pca_regression_ub,0.1857451192719422,0.1546862776131417,2.6776970858432043,,25,,,
32,27,7,0.1,ridge_prior_csgm,0.0172072365934436,0.013640560420416,0.2286927797976576,,25,0.01,0.0157365052511095,0.0076522804175926
32,27,7,0.1,ae_regression_ub,0.01895699957981,0.0160396175772539,0.2617223660312049,,25,,,
32,27,7,0.1,ml_only,0.0267338393226332,0.0217410030965116,0.3709447981169602,,25,,,
32,27,7,0.1,mlp_concat_ub,0.2801864640150562,0.2236609832040794,4.007991574111115,,25,,,
32,27,7,0.1,pca_regression_ub,0.2066953115565905,0.1665419821421713,2.9015558154209007,,25,,,
32,27,7,0.2,ridge_prior_csgm,0.0132204663598146,0.0102616164329623,0.1745871568219812,,25,0.0003,0.0140999965281166,0.0076522804175926
32,27,7,0.2,ae_regression_ub,0.0214107667621194,0.0180119632572826,0.2968834131036826,,25,,,
32,27,7,0.2,ml_only,0.0267338393226332,0.0217410030965116,0.3709447981169602,,25,,,
32,27,7,0.2,mlp_concat_ub,0.2788045018779871,0.224545450192736,3.882956761550036,,25,,,
32,27,7,0.2,pca_regression_ub,0.1649629041119888,0.1318167444465537,2.334321827279424,,25,,,
32,27,23,0.05,ridge_prior_csgm,0.0153930676933622,0.0121489906725632,0.2060519324986952,,25,0.0003,0.0153084761652644,0.0071730039580759
32,27,23,0.05,ae_regression_ub,0.0221409199737921,0.018450176495479,0.3064887797586208,,25,,,
32,27,23,0.05,ml_only,0.0240594828302712,0.0196062211658801,0.3270385266457994,,25,,,
32,27,23,0.05,mlp_concat_ub,0.2190618901525167,0.1741196403715735,3.0322010658626333,,25,,,
32,27,23,0.05,pca_regression_ub,0.1443572391284911,0.1163503029876314,2.122777516280091,,25,,,
32,27,23,0.1,ridge_prior_csgm,0.013409513420332,0.0104733000327308,0.1780093780055092,,25,0.0003,0.0146599278777264,0.0071730039580759
32,27,23,0.1,ae_regression_ub,0.0210547667251286,0.0175674477585967,0.2855711166398599,,25,,,
32,27,23,0.1,ml_only,0.0240594828302712,0.0196062211658801,0.3270385266457994,,25,,,
32,27,23,0.1,mlp_concat_ub,0.208197922204126,0.1691974584076052,2.922195649553666,,25,,,
32,27,23,0.1,pca_regression_ub,0.2206095118968229,0.1773027572374025,3.1420475473767744,,25,,,
32,27,23,0.2,ridge_prior_csgm,0.0124618534057806,0.0095621152184255,0.1616306271923155,,25,0.0003,0.0137516720164309,0.0071730039580759
32,27,23,0.2,ae_regression_ub,0.0203093125126751,0.0170408542171697,0.2829489566020731,,25,,,
32,27,23,0.2,ml_only,0.0240594828302712,0.0196062211658801,0.3270385266457994,,25,,,
32,27,23,0.2,mlp_concat_ub,0.2555880055647787,0.2052983063598124,3.605904046278984,,25,,,
32,27,23,0.2,pca_regression_ub,0.1295964026529888,0.1054418412188729,1.895760306064188,,25,,,
32,27,41,0.05,ridge_prior_csgm,0.0140450608622681,0.0110236865156778,0.1796035535079227,,25,0.001,0.0173801806822437,0.0087611140519515
32,27,41,0.05,ae_regression_ub,0.021511328074034,0.0177854513969718,0.3022915215715067,,25,,,
32,27,41,0.05,ml_only,0.026325602407856,0.021346517301795,0.3726421831012622,,25,,,
32,27,41,0.05,mlp_concat_ub,0.2746467249585496,0.2187633603255451,4.011139898971838,,25,,,
32,27,41,0.05,pca_regression_ub,0.1803257525312114,0.1451879633166672,2.572492506736256,,25,,,
32,27,41,0.1,ridge_prior_csgm,0.0138917159962243,0.010861909537024,0.1767962813740409,,25,0.001,0.0169398086324535,0.0087611140519515
32,27,41,0.1,ae_regression_ub,0.0350111792851485,0.031585935237302,0.5348688603215122,,25,,,
32,27,41,0.1,ml_only,0.026325602407856,0.021346517301795,0.3726421831012622,,25,,,
32,27,41,0.1,mlp_concat_ub,0.232569593595606,0.189292800172896,3.318203267275722,,25,,,
32,27,41,0.1,pca_regression_ub,0.1772949710697267,0.1441181812536408,2.6130604312767884,,25,,,
32,27,41,0.2,ridge_prior_csgm,0.0120740707685189,0.0094058375028909,0.1487186840786492,,25,0.0003,0.0138842253738519,0.0087611140519515
32,27,41,0.2,ae_regression_ub,0.01932949977868,0.0162533298737088,0.2644901945032375,,25,,,
32,27,41,0.2,ml_only,0.026325602407856,0.021346517301795,0.3726421831012622,,25,,,
32,27,41,0.2,mlp_concat_ub,0.2206792954218902,0.1769647547241413,3.035690545155526,,25,,,
32,27,41,0.2,pca_regression_ub,0.2115190827673332,0.1708969855451362,3.094247040855272,,25,,,
