measurement_ratio,method,rmse_mean,rmse_std_across_seeds,rmse_sem,mae_mean,mae_std_across_seeds,relative_l2_mean,relative_l2_std_across_seeds,support_f1_mean,support_f1_std_across_seeds,n_seeds,n_test_samples_per_run,rmse_ci95_half,method_label
0.05,ae_regression_ub,0.01893150669797088,0.00021785911278161357,0.00012578101740987765,0.015687593883303416,0.00011306876515672644,0.24874794666773903,0.002135552860038229,,,3,49,0.0002465307941233602,"AE [u,b]"
0.05,measurement_only_csgm,0.03621957426686812,0.003542573729118751,0.0020453058961308074,0.02913810861578443,0.0024712109773483855,0.5647144027516111,0.0599551936278214,,,3,49,0.004008799556416382,Measurement-only CSGM
0.05,ml_only,0.02422827591508764,0.0014010378417218955,0.0008088895750629887,0.01959932244555655,0.0011177267443415455,0.3306554837481156,0.022226785536470298,,,3,49,0.0015854235671234579,ML only
0.05,mlp_concat_ub,0.19306172560660104,0.012450422176563102,0.007188254595163194,0.15525570304788858,0.009685164375855261,2.6932545572123314,0.16849581005040026,,,3,49,0.014088979006519859,"MLP [u,b]"
0.05,pca_regression_ub,0.14211132904719853,0.009126570706627354,0.005269228054249456,0.11447257253126193,0.007410699947690983,1.992494985006667,0.15955888457347814,,,3,49,0.010327686986328934,"PCA [u,b]"
0.05,ridge_prior_csgm,0.01402728699987123,0.0006391635609204589,0.00036902125395362677,0.011263956517945853,0.0005174413993981128,0.1861274004896607,0.014117754203935648,,,3,49,0.0007232816577491084,CLP-CSGM Ridge
0.05,ridge_prior_only_decoder,0.014987316991975114,0.0008895536935533899,0.0005135840644316756,0.012023403944449404,0.0007242717119407237,0.20470451593830566,0.0168766446167703,,,3,49,0.001006624766286084,Prior-only Ridge
0.1,ae_regression_ub,0.01802344317317665,0.0008488963471640779,0.0004901105345492704,0.014866845370952037,0.0007366458348663273,0.23455548229554904,0.012116803324657081,,,3,49,0.0009606166477165699,"AE [u,b]"
0.1,measurement_only_csgm,0.029540050132921315,0.003267700457186909,0.0018866077385879252,0.022705861263138487,0.001987243917631452,0.44031519281670367,0.05860116610483579,,,3,49,0.0036977511676323334,Measurement-only CSGM
0.1,ml_only,0.02422827591508764,0.0014010378417218955,0.0008088895750629887,0.01959932244555655,0.0011177267443415455,0.3306554837481156,0.022226785536470298,,,3,49,0.0015854235671234579,ML only
0.1,mlp_concat_ub,0.190475950155372,0.024442948070504695,0.01411214264829393,0.15414741053145584,0.019016989154172496,2.633069888543958,0.37152052502008065,,,3,49,0.027659799590656103,"MLP [u,b]"
0.1,pca_regression_ub,0.14666261428320082,0.009012133547860679,0.0052031577298302205,0.11819403873511332,0.0072670694717280535,2.076202544448021,0.1271026814353488,,,3,49,0.010198189150467232,"PCA [u,b]"
0.1,ridge_prior_csgm,0.013799555745211335,0.0010684821216932457,0.0006168884405838979,0.011069155920342105,0.0008961148876144047,0.18485023981460255,0.021211388681409874,,,3,49,0.0012091013435444398,CLP-CSGM Ridge
0.1,ridge_prior_only_decoder,0.014987316991975114,0.0008895536935533899,0.0005135840644316756,0.012023403944449404,0.0007242717119407237,0.20470451593830566,0.0168766446167703,,,3,49,0.001006624766286084,Prior-only Ridge
0.2,ae_regression_ub,0.018217276327445665,0.00047630644324172177,0.0002749956532223613,0.015068406767568933,0.0005430100201437248,0.23617789801243602,0.009741221121444295,,,3,49,0.0005389914803158281,"AE [u,b]"
0.2,measurement_only_csgm,0.021274006787713684,0.0011095003928106963,0.0006405703504552511,0.01637174722952241,0.0008457757233817743,0.276735329337262,0.022026840347050887,,,3,49,0.001255517886892292,Measurement-only CSGM
0.2,ml_only,0.02422827591508764,0.0014010378417218955,0.0008088895750629887,0.01959932244555655,0.0011177267443415455,0.3306554837481156,0.022226785536470298,,,3,49,0.0015854235671234579,ML only
0.2,mlp_concat_ub,0.21191280416762545,0.022883160592740644,0.013211598928128248,0.17017203263232672,0.01892064173251142,2.907131649842611,0.3848392644528626,,,3,49,0.025894733899131366,"MLP [u,b]"
0.2,pca_regression_ub,0.12936725614835035,0.009577223154864964,0.005529412366550404,0.10393673498037866,0.008105149953363654,1.826655811657867,0.1493555295547285,,,3,49,0.010837648238438791,"PCA [u,b]"
0.2,ridge_prior_csgm,0.012886349601771053,0.0005176368956502878,0.0002988578010461759,0.01035815785103177,0.00044716599472134047,0.1710149621637936,0.011916715593282536,,,3,49,0.0005857612900505048,CLP-CSGM Ridge
0.2,ridge_prior_only_decoder,0.014987316991975114,0.0008895536935533899,0.0005135840644316756,0.012023403944449404,0.0007242717119407237,0.20470451593830566,0.0168766446167703,,,3,49,0.001006624766286084,Prior-only Ridge
