Depth(m),HFU,has_cmr,vp_m3_dry_km_s,vs_m3_dry_km_s,vp_m3_km_s,vs_m3_km_s,vpvs_m3,k_dry_gpa,g_dry_gpa,k_sat_gpa,g_sat_gpa,rho_sat_gcc,phi_input,f_macro_nmr,f_micro_nmr,ar_meso_hfu,ar_micro_hfu,vp_m1_km_s,vp_sonic_km_s,vp_m1_rel_error_pct,vp_m3_rel_error_pct,vp_m1_abs_rel_error_pct,vp_m3_abs_rel_error_pct,status
5218.670000,4,True,4.885760,2.928815,4.948736,2.831365,1.747827,28.897443,19.936743,34.322401,19.936743,2.486924,0.158000,0.738126,0.261874,0.550000,0.050000,5.904038,4.439472,32.989644,11.471272,32.989644,11.471272,ok
5218.860000,2,True,3.823636,2.354931,4.068883,2.288275,1.778144,17.250876,13.239579,24.208087,13.239579,2.528469,0.137000,0.709493,0.290507,0.553722,0.034000,4.588156,4.619478,-0.678042,-11.918981,0.678042,11.918981,ok
5219.050000,1,True,5.237661,2.855636,5.163867,2.781497,1.856506,40.101422,19.746935,41.730843,19.746935,2.552363,0.127000,0.732046,0.267954,0.554259,0.512500,5.197834,4.776456,8.821980,8.110850,8.821980,8.110850,ok
5219.240000,2,True,4.405476,2.593970,4.520653,2.528202,1.788090,25.291337,16.305760,30.392841,16.305760,2.551042,0.124000,0.827063,0.172937,0.553722,0.034000,4.691071,4.808080,-2.433591,-5.978007,2.433591,5.978007,ok
5219.620000,2,True,4.298467,2.540061,4.356059,2.448417,1.779133,22.672012,14.814038,27.139011,14.814038,2.471170,0.170000,0.880879,0.119121,0.553722,0.034000,4.336106,4.612612,-5.994564,-5.561991,5.994564,5.561991,ok
5219.810000,1,True,4.950707,2.743788,4.833387,2.627442,1.839579,32.274135,16.789459,34.430443,16.789459,2.432039,0.196000,0.873551,0.126449,0.554259,0.512500,4.880658,4.382418,11.369066,10.290419,11.369066,10.290419,ok
5220.200000,1,True,4.964679,2.749550,4.849035,2.635035,1.840216,32.610187,16.922963,34.743914,16.922963,2.437270,0.193000,0.861563,0.138437,0.554259,0.512500,4.894442,4.212831,16.179405,15.101573,16.179405,15.101573,ok
5220.580000,1,True,5.077896,2.794167,4.980484,2.696971,1.846695,35.611249,18.083011,37.557508,18.083011,2.486097,0.165000,0.846155,0.153845,0.554259,0.512500,5.023094,4.510434,11.366090,10.421391,11.366090,10.421391,ok
5220.770000,1,True,5.272897,2.868465,5.205012,2.799763,1.859090,41.181384,20.130166,42.733974,20.130166,2.568057,0.118000,0.763744,0.236256,0.554259,0.512500,5.239268,4.697837,11.525113,10.795930,11.525113,10.795930,ok
5221.150000,1,True,5.456987,2.935085,5.416022,2.892483,1.872448,46.985258,22.127480,48.076964,22.127480,2.644786,0.074000,0.632160,0.367840,0.554259,0.512500,5.442283,5.189557,4.869895,4.363857,4.869895,4.363857,ok
5221.720000,1,True,5.621822,2.991877,5.602754,2.971346,1.885595,52.596418,23.935591,53.188081,23.935591,2.711051,0.036000,0.584459,0.415541,0.554259,0.512500,5.618457,5.611885,0.117109,-0.162711,0.117109,0.162711,ok
5222.100000,1,True,5.591005,2.981394,5.567998,2.956830,1.883097,51.518862,23.595568,52.210449,23.595568,2.698844,0.043000,0.638836,0.361164,0.554259,0.512500,5.585930,5.597079,-0.199193,-0.519568,0.199193,0.519568,ok
5222.860000,2,True,4.084116,2.476936,4.386890,2.433606,1.802630,21.444020,15.478592,29.659147,15.478592,2.613550,0.088000,0.602032,0.397968,0.553722,0.034000,4.988079,5.127192,-2.713240,-14.438736,2.713240,14.438736,ok
5223.050000,1,True,5.373372,2.905435,5.320250,2.851034,1.866077,44.274908,21.214374,45.587799,21.214374,2.609909,0.094000,0.636829,0.363171,0.554259,0.512500,5.349898,5.096258,4.976985,4.395224,4.976985,4.395224,ok
5223.430000,1,True,5.431526,2.926221,5.386995,2.880092,1.870425,46.150127,21.851520,47.311942,21.851520,2.634323,0.080000,0.578847,0.421153,0.554259,0.512500,5.414547,5.155464,5.025406,4.490988,5.025406,4.490988,ok
5223.630000,1,True,5.452716,2.933622,5.411164,2.890432,1.872095,46.844350,22.081553,47.948042,22.081553,2.643042,0.075000,0.612109,0.387891,0.554259,0.512500,5.437659,5.312252,2.360713,1.861965,2.360713,1.861965,ok
5224.390000,2,True,4.821601,2.754496,4.940775,2.716122,1.819055,33.747167,19.498757,38.522288,19.498757,2.643068,0.071000,0.791952,0.208048,0.553722,0.034000,5.135137,5.217744,-1.583194,-5.308206,1.583194,5.308206,ok
5224.770000,2,True,4.664076,2.698846,4.804437,2.655623,1.809157,30.613849,18.517340,35.918347,18.517340,2.625705,0.081000,0.777531,0.222469,0.553722,0.034000,5.048065,5.107089,-1.155727,-5.926114,1.155727,5.926114,ok
