Depth(m),HFU,phi_input,alpha_hfu,matrix_k_gpa,matrix_g_gpa,matrix_rho_gcc,param_source,alpha,dem_k_gpa,dem_g_gpa,sc_k_gpa,sc_g_gpa,rho_gcc,vp_dem_m_s,vs_dem_m_s,vpvs_dem,vp_dem_km_s,vs_dem_km_s,vp_sc_m_s,vs_sc_m_s,vpvs_sc,vp_sc_km_s,vs_sc_km_s,vp_rel_diff_dem_sc,vpvs_rel_diff_dem_sc,kf_gpa,rho_fluid_gcc,sw,k_sat_gpa,g_sat_gpa,rho_sat_gcc,vp_dem_dry_km_s,vs_dem_dry_km_s,vpvs_dem_dry,status,error
5210.100000,2,0.116000,0.167236,69.146581,30.207057,2.766349,m3_hier_joint_vp_vs,0.167236,33.355369,20.057000,48.663173,23.490298,2.445453,5021.468915,2796.372425,1.795708,5.021469,2.796372,5719.008939,3099.307352,1.845254,5.719009,3.099307,0.153640,0.066004,2.200000,1.030000,1.000000,37.932492,20.057000,2.564933,4.957361,2.863870,1.731000,ok,
5210.480000,2,0.116000,0.167236,69.146581,30.207057,2.766349,m3_hier_joint_vp_vs,0.167236,33.355369,20.057000,48.663173,23.490298,2.445453,5021.468915,2796.372425,1.795708,5.021469,2.796372,5719.008939,3099.307352,1.845254,5.719009,3.099307,0.153640,0.066004,2.200000,1.030000,1.000000,37.932492,20.057000,2.564933,4.957361,2.863870,1.731000,ok,
5210.670000,2,0.123000,0.167236,69.146581,30.207057,2.766349,m3_hier_joint_vp_vs,0.167236,32.394589,19.686267,47.511072,23.080824,2.426088,4976.183149,2776.995355,1.791931,4.976183,2.776995,5680.510873,3084.411952,1.841684,5.680511,3.084412,0.155401,0.067060,2.200000,1.030000,1.000000,36.964553,19.686267,2.552778,4.916484,2.848580,1.725942,ok,
5210.860000,1,0.142000,0.168170,69.858997,30.711901,2.773829,m3_hier_joint_vp_vs,0.168170,29.313440,18.576659,44.959497,22.330345,2.379945,4826.111863,2711.748996,1.779704,4.826112,2.711749,5603.683120,3063.121580,1.829403,5.603683,3.063122,0.175518,0.072175,2.200000,1.030000,1.000000,34.069867,18.576659,2.526205,4.766989,2.793832,1.706255,ok,
5211.240000,1,0.134000,0.168170,69.858997,30.711901,2.773829,m3_hier_joint_vp_vs,0.168170,31.060304,19.299329,46.258406,22.807873,2.402136,4916.500006,2756.391565,1.783673,4.916500,2.756392,5649.510765,3081.368291,1.833442,5.649511,3.081368,0.161885,0.068789,2.200000,1.030000,1.000000,35.668140,19.299329,2.540156,4.862366,2.834473,1.715439,ok,
5211.620000,2,0.086000,0.167236,69.146581,30.207057,2.766349,m3_hier_joint_vp_vs,0.167236,39.793837,22.369772,53.709272,25.239532,2.528443,5307.376336,2923.661003,1.815319,5.307376,2.923661,5878.068681,3159.468792,1.860461,5.878069,3.159469,0.120195,0.054590,2.200000,1.030000,1.000000,43.890578,22.369772,2.617023,5.247362,2.974433,1.764155,ok,
5212.960000,1,0.079000,0.168170,69.858997,30.711901,2.773829,m3_hier_joint_vp_vs,0.168170,42.834099,23.578183,55.525297,26.072771,2.554697,5439.057774,2990.728485,1.818640,5.439058,2.990728,5944.943667,3194.654798,1.860903,5.944944,3.194655,0.102569,0.048497,2.200000,1.030000,1.000000,46.546099,23.578183,2.636067,5.391902,3.037984,1.774829,ok,
5213.150000,3,0.070000,0.168006,68.022153,29.385677,2.754277,m3_hier_joint_vp_vs,0.168006,42.739809,22.964815,55.479013,25.460688,2.561478,5413.168026,2952.965768,1.833129,5.413168,2.952966,5908.647355,3152.751816,1.874124,5.908647,3.152752,0.104091,0.048580,2.200000,1.030000,1.000000,46.550360,22.964815,2.633578,5.351593,2.994237,1.787298,ok,
5213.340000,1,0.061000,0.168170,69.858997,30.711901,2.773829,m3_hier_joint_vp_vs,0.168170,46.828200,24.834327,58.685385,27.134776,2.604625,5591.008017,3051.248700,1.832367,5.591008,3.051249,6035.045706,3227.680078,1.869778,6.035046,3.227680,0.089355,0.042155,2.200000,1.030000,1.000000,50.270543,24.834327,2.667455,5.540018,3.087831,1.794145,ok,
5213.530000,1,0.066000,0.168170,69.858997,30.711901,2.773829,m3_hier_joint_vp_vs,0.168170,45.452672,24.411385,57.801304,26.840082,2.590756,5539.466217,3030.111310,1.828140,5.539466,3.030111,6010.311603,3218.686224,1.867318,6.010312,3.218686,0.095367,0.044634,2.200000,1.030000,1.000000,49.036633,24.411385,2.658736,5.487030,3.069608,1.787534,ok,
5213.720000,1,0.073000,0.168170,69.858997,30.711901,2.773829,m3_hier_joint_vp_vs,0.168170,44.121921,23.992669,56.571703,26.427115,2.571339,5489.090938,3010.931733,1.823054,5.489091,3.010932,5975.306860,3205.864542,1.863868,5.975307,3.205865,0.098280,0.046471,2.200000,1.030000,1.000000,47.750024,23.992669,2.646529,5.440606,3.054637,1.781098,ok,
5214.100000,4,0.084000,0.167804,68.587774,29.797870,2.760313,m3_hier_global_hfu4,0.167804,40.648237,22.478634,53.572231,25.014368,2.528447,5337.161592,2931.918383,1.820365,5.337162,2.931918,5863.335571,3145.341905,1.864133,5.863336,3.145342,0.109452,0.051717,2.200000,1.030000,1.000000,44.516583,22.478634,2.614967,5.284893,2.981660,1.772467,ok,
