Depth(m),HFU,hfu_source,phi_input,phi_input_source,Phi_Sonic (pu),Phi_lab (pu),alpha_hfu,matrix_k_gpa,matrix_g_gpa,matrix_rho_gcc,param_source,n_ct_plugs_calib,alpha,dem_k_gpa,dem_g_gpa,sc_k_gpa,sc_g_gpa,rho_gcc,vp_dem_m_s,vs_dem_m_s,vpvs_dem,vp_dem_km_s,vs_dem_km_s,vp_sc_m_s,vs_sc_m_s,vpvs_sc,vp_sc_km_s,vs_sc_km_s,vp_rel_diff_dem_sc,vpvs_rel_diff_dem_sc,status,error
5223.630000,1,lab,0.075000,Phi_ND,0.074000,0.088000,0.168170,69.858997,30.711901,2.773829,m3_hier_joint_vp_vs,4,0.168170,44.121921,23.992669,56.222127,26.309039,2.565792,5446.484517,3057.937245,1.781098,5.446485,3.057937,5965.223104,3202.150806,1.862880,5.965223,3.202151,0.095243,0.045917,ok,
5224.390000,2,lab,0.071000,Phi_ND,0.077000,0.071000,0.167236,69.146581,30.207057,2.766349,m3_hier_joint_vp_vs,4,0.167236,43.507667,23.582875,56.298203,26.110828,2.569938,5400.435969,3029.263346,1.782756,5.400436,3.029263,5954.262462,3187.491102,1.868009,5.954262,3.187491,0.102552,0.047821,ok,
5224.770000,2,lab,0.081000,Phi_ND,0.085000,0.095000,0.167236,69.146581,30.207057,2.766349,m3_hier_joint_vp_vs,4,0.167236,40.991612,22.769948,54.567374,25.530205,2.542275,5297.737601,2992.745442,1.770193,5.297738,2.992745,5903.701104,3168.953806,1.862981,5.903701,3.168954,0.114382,0.052417,ok,
5224.960000,1,lab,0.084000,Phi_ND,0.084000,0.095000,0.168170,69.858997,30.711901,2.773829,m3_hier_joint_vp_vs,4,0.168170,41.587457,23.167936,54.658611,25.777219,2.540827,5340.914641,3019.646413,1.768722,5.340915,3.019646,5919.381155,3185.154099,1.858429,5.919381,3.185154,0.108309,0.050718,ok,
5225.150000,1,lab,0.084000,Phi_ND,0.086000,0.094000,0.168170,69.858997,30.711901,2.773829,m3_hier_joint_vp_vs,4,0.168170,41.587457,23.167936,54.658611,25.777219,2.540827,5340.914641,3019.646413,1.768722,5.340915,3.019646,5919.381155,3185.154099,1.858429,5.919381,3.185154,0.108309,0.050718,ok,
5225.340000,2,lab,0.088000,Phi_ND,0.087000,0.080000,0.167236,69.146581,30.207057,2.766349,m3_hier_joint_vp_vs,4,0.167236,39.793837,22.369772,53.367397,25.123195,2.522910,5253.112853,2977.692724,1.764155,5.253113,2.977693,5867.748413,3155.633329,1.859452,5.867748,3.155633,0.117004,0.054018,ok,
5225.530000,2,lab,0.100000,Phi_ND,0.090000,0.131000,0.167236,69.146581,30.207057,2.766349,m3_hier_joint_vp_vs,4,0.167236,37.510830,21.582022,51.332543,24.424346,2.489714,5159.872606,2944.227221,1.752539,5.159873,2.944227,5804.996190,3132.108050,1.853383,5.804996,3.132108,0.125027,0.057542,ok,
5226.100000,2,lab,0.125000,Phi_ND,0.115000,0.131000,0.167236,69.146581,30.207057,2.766349,m3_hier_joint_vp_vs,4,0.167236,32.394589,19.686267,47.183662,22.963738,2.420555,4922.099336,2851.833540,1.725942,4.922099,2.851834,5669.409306,3080.092643,1.840662,5.669409,3.080093,0.151827,0.066468,ok,
5226.480000,1,lab,0.153000,Phi_ND,0.146000,0.142000,0.168170,69.858997,30.711901,2.773829,m3_hier_joint_vp_vs,4,0.168170,27.666846,17.870959,43.193894,21.672596,2.349433,4681.662498,2757.988055,1.697492,4.681662,2.757988,5539.340221,3037.203723,1.823829,5.539340,3.037204,0.183199,0.074426,ok,
5227.630000,1,lab,0.053000,Phi_ND,0.099000,0.067000,0.168170,69.858997,30.711901,2.773829,m3_hier_joint_vp_vs,4,0.168170,49.721519,25.692847,60.109950,27.605802,2.626816,5654.179724,3127.456562,1.807916,5.654180,3.127457,6074.166412,3241.793515,1.873706,6.074166,3.241794,0.074279,0.036390,ok,
5227.820000,1,lab,0.069000,Phi_ND,0.086000,0.113000,0.168170,69.858997,30.711901,2.773829,m3_hier_joint_vp_vs,4,0.168170,45.452672,24.411385,57.273172,26.663153,2.582435,5495.863272,3074.549794,1.787534,5.495863,3.074550,5995.364037,3213.224512,1.865840,5.995364,3.213225,0.090887,0.043807,ok,
5228.010000,2,lab,0.088000,Phi_ND,0.088000,0.093000,0.167236,69.146581,30.207057,2.766349,m3_hier_joint_vp_vs,4,0.167236,39.793837,22.369772,53.367397,25.123195,2.522910,5253.112853,2977.692724,1.764155,5.253113,2.977693,5867.748413,3155.633329,1.859452,5.867748,3.155633,0.117004,0.054018,ok,
5228.200000,2,lab,0.095000,Phi_ND,0.097000,0.098000,0.167236,69.146581,30.207057,2.766349,m3_hier_joint_vp_vs,4,0.167236,38.634079,21.973796,52.176981,24.715707,2.503546,5209.078944,2962.611935,1.758272,5.209079,2.962612,5831.318319,3142.018537,1.855915,5.831318,3.142019,0.119453,0.055533,ok,
5228.580000,1,lab,0.112000,Phi_ND,0.095000,0.169000,0.168170,69.858997,30.711901,2.773829,m3_hier_joint_vp_vs,4,0.168170,34.885393,20.795696,49.894678,24.117550,2.463160,5041.803210,2905.630638,1.735184,5.041803,2.905631,5771.606349,3129.105947,1.844491,5.771606,3.129106,0.144750,0.062994,ok,
5228.960000,2,lab,0.089000,Phi_ND,0.096000,0.148000,0.167236,69.146581,30.207057,2.766349,m3_hier_joint_vp_vs,4,0.167236,39.793837,22.369772,53.196752,25.065012,2.520144,5255.995219,2979.326575,1.764155,5.255995,2.979327,5862.573688,3153.706603,1.858947,5.862574,3.153707,0.115407,0.053732,ok,
5229.340000,2,lab,0.129000,Phi_ND,0.118000,0.185000,0.167236,69.146581,30.207057,2.766349,m3_hier_joint_vp_vs,4,0.167236,31.462737,19.319742,46.531194,22.729438,2.409490,4873.269702,2831.640394,1.721006,4.873270,2.831640,5647.067185,3071.367534,1.838617,5.647067,3.071368,0.158784,0.068338,ok,
5229.530000,3,lab,0.151000,Phi_ND,0.141000,0.158000,0.168006,68.022153,29.385677,2.754277,m3_hier_joint_vp_vs,2,0.168006,26.705020,17.109921,42.176121,20.861036,2.338381,4601.770754,2704.994240,1.701213,4.601771,2.704994,5470.952412,2986.828511,1.831693,5.470952,2.986829,0.188880,0.076698,ok,
5229.720000,2,lab,0.161000,Phi_ND,0.151000,0.183000,0.167236,69.146581,30.207057,2.766349,m3_hier_joint_vp_vs,4,0.167236,25.666902,16.871614,41.424470,20.848807,2.320967,4555.326778,2696.148755,1.689568,4.555327,2.696149,5461.228687,2997.133837,1.822150,5.461229,2.997134,0.198867,0.078471,ok,
5230.290000,3,lab,0.172000,Phi_ND,0.166000,0.162000,0.168006,68.022153,29.385677,2.754277,m3_hier_joint_vp_vs,2,0.168006,23.774524,15.807952,38.939829,19.657194,2.280541,4434.768258,2632.805829,1.684427,4.434768,2.632806,5344.859639,2935.903595,1.820516,5.344860,2.935904,0.205217,0.080793,ok,
5230.480000,4,lab,0.170000,Phi_ND,0.168000,0.210000,0.167804,68.587774,29.797870,2.760313,m3_hier_global_hfu4,0,0.167804,24.725510,16.340815,39.636603,20.045965,2.291060,4505.782193,2670.660290,1.687142,4.505782,2.670660,5382.076753,2957.980255,1.819511,5.382077,2.957980,0.194482,0.078458,ok,
5230.860000,3,lab,0.182000,Phi_ND,0.164000,0.193000,0.168006,68.022153,29.385677,2.754277,m3_hier_joint_vp_vs,2,0.168006,22.432031,15.181035,37.429586,19.082166,2.252999,4352.093557,2595.794081,1.676594,4.352094,2.595794,5282.625390,2910.270588,1.815166,5.282625,2.910271,0.213812,0.082651,ok,
5231.050000,4,lab,0.179000,Phi_ND,0.161000,0.169000,0.167804,68.587774,29.797870,2.760313,m3_hier_global_hfu4,0,0.167804,23.330825,15.696749,38.262668,19.521344,2.266217,4419.306273,2631.807491,1.679191,4.419306,2.631807,5326.289600,2934.973038,1.814766,5.326290,2.934973,0.205232,0.080739,ok,
5231.240000,3,lab,0.170000,Phi_ND,0.166000,0.185000,0.168006,68.022153,29.385677,2.754277,m3_hier_joint_vp_vs,2,0.168006,24.475410,16.127415,39.244267,19.772061,2.286050,4484.718221,2656.070100,1.688479,4.484718,2.656070,5357.131238,2940.919386,1.821584,5.357131,2.940919,0.194530,0.078831,ok,
5231.440000,3,lab,0.170000,Phi_ND,0.174000,0.209000,0.168006,68.022153,29.385677,2.754277,m3_hier_joint_vp_vs,2,0.168006,24.475410,16.127415,39.244267,19.772061,2.286050,4484.718221,2656.070100,1.688479,4.484718,2.656070,5357.131238,2940.919386,1.821584,5.357131,2.940919,0.194530,0.078831,ok,
5232.200000,1,lab,0.139000,Phi_ND,0.125000,0.115000,0.168170,69.858997,30.711901,2.773829,m3_hier_joint_vp_vs,4,0.168170,30.173888,18.935870,45.445126,22.509500,2.388267,4817.243117,2815.796196,1.710793,4.817243,2.815796,5620.961743,3070.022136,1.830919,5.620962,3.070022,0.166842,0.070217,ok,
5232.770000,2,lab,0.094000,Phi_ND,0.093000,0.189000,0.167236,69.146581,30.207057,2.766349,m3_hier_joint_vp_vs,4,0.167236,38.634079,21.973796,52.346455,24.773949,2.506312,5206.203383,2960.976488,1.758272,5.206203,2.960976,5836.552412,3143.981895,1.856420,5.836552,3.143982,0.121077,0.055821,ok,
5232.960000,3,lab,0.131000,Phi_ND,0.100000,0.206000,0.168006,68.022153,29.385677,2.754277,m3_hier_joint_vp_vs,2,0.168006,30.003302,18.476428,45.339793,22.003032,2.393467,4777.886675,2778.403455,1.719652,4.777887,2.778403,5585.733685,3031.988640,1.842267,5.585734,3.031989,0.169080,0.071303,ok,
5233.150000,2,lab,0.148000,Phi_ND,0.111000,0.181000,0.167236,69.146581,30.207057,2.766349,m3_hier_joint_vp_vs,4,0.167236,28.004201,17.895668,43.474821,21.614171,2.356929,4690.987698,2755.501653,1.702408,4.690988,2.755502,5538.306565,3028.279891,1.828862,5.538307,3.028280,0.180627,0.074280,ok,
5233.340000,2,lab,0.132000,Phi_ND,0.123000,0.170000,0.167236,69.146581,30.207057,2.766349,m3_hier_joint_vp_vs,4,0.167236,30.558757,18.957423,46.043901,22.553602,2.401191,4822.154938,2809.805790,1.716188,4.822155,2.809806,5630.187217,3064.746872,1.837081,5.630187,3.064747,0.167567,0.070443,ok,
5233.720000,2,lab,0.143000,Phi_ND,0.114000,0.150000,0.167236,69.146581,30.207057,2.766349,m3_hier_joint_vp_vs,4,0.167236,28.830427,18.245390,44.272261,21.908043,2.370761,4735.205617,2774.167511,1.706892,4.735206,2.774168,5567.362472,3039.890176,1.831435,5.567362,3.039890,0.175738,0.072965,ok,
