HFU,n,mean_vp_sonic,mean_vp_dem,mean_vp_bias,mean_abs_vp_rel_error_pct,mean_vpvs_sonic,mean_vpvs_dem
1,42,4.999184,5.389554,0.390369,8.048257,1.760269,1.855194
2,29,4.883907,4.721993,-0.161914,3.318630,1.761860,1.750383
3,10,4.611539,5.216105,0.604567,13.593829,1.803631,1.843183
4,6,4.765365,6.184534,1.419170,30.442792,1.793362,1.838758
