depth_m,tdep,dtco_usft,dtsm_usft,vp_sonic_km_s,vs_sonic_km_s,vpvs_sonic_calc,vpvs_sonic_dlis,sphi,itt
5213.756400,2052660.000000,56.597321,100.282715,5.385414,3.039407,1.771863,1.771863,0.006596,0.105858
5213.908800,2052720.000000,56.390327,100.937744,5.405182,3.019683,1.789983,1.789983,0.004326,0.105830
5214.061200,2052780.000000,57.599537,101.560623,5.291709,3.001163,1.763219,1.763219,0.017356,0.105802
5214.213600,2052840.000000,58.052261,102.308006,5.250441,2.979239,1.762343,1.762343,0.022095,0.105773
5214.366000,2052900.000000,58.874519,103.610451,5.177112,2.941788,1.759852,1.759852,0.030515,0.105744
5214.518400,2052960.000000,59.247841,103.315292,5.144491,2.950192,1.743782,1.743782,0.034261,0.105714
5214.670800,2053020.000000,59.517540,104.702774,5.121179,2.911098,1.759192,1.759192,0.036938,0.105685
5214.823200,2053080.000000,59.594025,105.184792,5.114607,2.897757,1.765022,1.765022,0.037693,0.105655
5214.975600,2053140.000000,58.981869,104.412506,5.167690,2.919191,1.770248,1.770247,0.031597,0.105625
5215.128000,2053200.000000,58.954498,101.852272,5.170089,2.992569,1.727642,1.727642,0.031322,0.105596
5215.280400,2053260.000000,59.231880,100.012451,5.145878,3.047621,1.688490,1.688490,0.034102,0.105566
5215.432800,2053320.000000,59.607399,99.861687,5.113459,3.052222,1.675324,1.675324,0.037825,0.105537
5215.585200,2053380.000000,60.400837,102.864227,5.046288,2.963129,1.703027,1.703027,0.045538,0.105507
5215.737600,2053440.000000,63.432339,105.047752,4.805120,2.901538,1.656060,1.656060,0.073231,0.105477
5215.890000,2053500.000000,64.132324,107.492043,4.752674,2.835559,1.676098,1.676098,0.079253,0.105445
5216.042400,2053560.000000,64.619354,110.568855,4.716853,2.756653,1.711080,1.711080,0.083367,0.105413
5216.194800,2053620.000000,64.836121,112.820992,4.701083,2.701625,1.740095,1.740095,0.085177,0.105381
5216.347200,2053680.000000,64.224083,113.659935,4.745883,2.681684,1.769740,1.769740,0.080033,0.105348
5216.499600,2053740.000000,63.010391,112.076614,4.837297,2.719568,1.778700,1.778700,0.069536,0.105316
5216.652000,2053800.000000,62.282997,110.700417,4.893791,2.753377,1.777378,1.777378,0.063049,0.105285
5216.804400,2053860.000000,61.452927,109.593079,4.959894,2.781198,1.783366,1.783366,0.055458,0.105253
5216.956800,2053920.000000,61.040718,108.920601,4.993388,2.798369,1.784393,1.784392,0.051612,0.105223
5217.109200,2053980.000000,62.007530,108.298889,4.915532,2.814433,1.746544,1.746544,0.060552,0.105192
5217.261600,2054040.000000,62.364761,108.036362,4.887375,2.821272,1.732330,1.732330,0.063786,0.105161
5217.414000,2054100.000000,63.035191,109.230690,4.835394,2.790425,1.732853,1.732853,0.069755,0.105130
5217.566400,2054160.000000,63.369843,111.347458,4.809859,2.737377,1.757105,1.757105,0.072687,0.105098
5217.718800,2054220.000000,64.115944,112.599373,4.753888,2.706942,1.756184,1.756184,0.079114,0.105067
5217.871200,2054280.000000,66.105713,114.322922,4.610797,2.666132,1.729395,1.729396,0.095545,0.105035
5218.023600,2054340.000000,67.409027,117.422043,4.521650,2.595765,1.741934,1.741933,0.105782,0.105002
5218.176000,2054400.000000,67.989761,119.857765,4.483028,2.543014,1.762880,1.762880,0.110217,0.104968
5218.328400,2054460.000000,69.115997,122.571198,4.409978,2.486718,1.773413,1.773413,0.118605,0.104934
5218.480800,2054520.000000,68.177689,122.989433,4.470671,2.478262,1.803954,1.803954,0.111636,0.104899
5218.633200,2054580.000000,68.656807,121.663467,4.439472,2.505271,1.772053,1.772053,0.115218,0.104865
5218.785600,2054640.000000,65.981476,118.582962,4.619478,2.570352,1.797216,1.797216,0.094548,0.104831
5218.938000,2054700.000000,65.178200,116.946289,4.676410,2.606325,1.794255,1.794255,0.088011,0.104798
5219.090400,2054760.000000,63.813004,116.088745,4.776456,2.625578,1.819202,1.819202,0.076522,0.104765
5219.242800,2054820.000000,63.393288,114.582932,4.808080,2.660082,1.807493,1.807493,0.072891,0.104733
5219.395200,2054880.000000,64.414276,115.024193,4.731870,2.649877,1.785694,1.785694,0.081642,0.104702
5219.547600,2054940.000000,66.079697,117.619110,4.612612,2.591416,1.779958,1.779958,0.095337,0.104670
5219.700000,2055000.000000,66.991859,118.806770,4.549807,2.565510,1.773451,1.773451,0.102548,0.104637
5219.852400,2055060.000000,69.550652,122.193054,4.382418,2.494413,1.756893,1.756893,0.121770,0.104603
