seed,measurement_ratio,method,sample_id,rmse,mae,relative_l2,support_f1,lambda,cs_engine,m
7,0.3,ml_only,0,0.47913727840430803,0.3799487271236394,0.6894095057567137,,,none,38
7,0.3,hybrid,0,0.4125015952038938,0.3312539848974944,0.5935303590245868,0.10619469026538428,0.001,fista,38
7,0.3,weighted_hybrid,0,0.41577815055166717,0.3309995794796895,0.5982448500581709,0.10526315789463528,0.001,fista,38
7,0.3,cs_only,0,0.6269673105545379,0.48375883381142876,0.9021156215073028,0.10169491525413904,0.001,fista,38
7,0.3,ml_only,1,0.3659714288317464,0.2887386032503486,0.534850730372302,,,none,38
7,0.3,hybrid,1,0.3063684935944595,0.2520252145256745,0.4477437298456243,0.08849557522113682,0.001,fista,38
7,0.3,weighted_hybrid,1,0.3196265979957172,0.261654441322247,0.46711985121389926,0.08403361344528099,0.001,fista,38
7,0.3,cs_only,1,0.5768234574207317,0.4672695511874951,0.8430014563765108,0.08333333333323696,0.001,fista,38
7,0.3,ml_only,2,0.538004806540469,0.4368279026473767,0.7375021289547001,,,none,38
7,0.3,hybrid,2,0.4290371883318547,0.3528388285815516,0.5881282768273568,0.09090909090898612,0.001,fista,38
7,0.3,weighted_hybrid,2,0.43496752742473943,0.35899197303992836,0.5962576423149061,0.07079646017688934,0.001,fista,38
7,0.3,cs_only,2,0.5951321782376018,0.4684656856192904,0.8158128758774653,0.09999999999990332,0.001,fista,38
7,0.3,ml_only,3,0.4712595418220741,0.39368654421641985,0.6417160313028085,,,none,38
7,0.3,hybrid,3,0.42293806228428954,0.34455763080402013,0.5759164764422845,0.09999999999990332,0.001,fista,38
7,0.3,weighted_hybrid,3,0.4149862705593845,0.3432153790638275,0.5650884893680638,0.07812499999990942,0.001,fista,38
7,0.3,cs_only,3,0.6335120661728719,0.5018037620529529,0.8626559524186493,0.09999999999990332,0.001,fista,38
7,0.3,ml_only,4,0.4572255265908862,0.3497300864606077,0.6570154042750959,,,none,38
