seed,measurement_ratio,method,rmse_mean,mae_mean,relative_l2_mean,support_f1_mean,n_test_samples
7,0.3,cs_only,0.6018913061337865,0.4811594413112429,0.855151480723556,0.09109432252169697,100
7,0.3,hybrid,0.38467571044441257,0.3070284554679065,0.546313656666303,0.09463418364199491,100
7,0.3,hybrid_lfista_frozen,0.3726284557856352,0.29695497890918826,0.5293743725923109,0.08986882004969614,100
7,0.3,hybrid_lfista_joint,0.3724452552243882,0.2968059775358243,0.529115221784865,0.08963029505999741,100
7,0.3,ml_only,0.4416907667682915,0.34945977037963977,0.6274936297796571,,100
7,0.3,ml_only_torch,0.44122089910029716,0.349574845443073,0.6267508689924263,,100
7,0.3,weighted_hybrid,0.3912191125448335,0.3124968349234567,0.5555784444676461,0.09364312886987454,100
7,0.5,cs_only,0.5229736046956103,0.41804220865903297,0.7431946578503513,0.09105792968699035,100
7,0.5,hybrid,0.3303465228177045,0.26399087555743184,0.4692031231730776,0.09416258010313225,100
7,0.5,hybrid_lfista_frozen,0.3268900418607778,0.2610741679747352,0.4647302875912162,0.08990309367410662,100
7,0.5,hybrid_lfista_joint,0.3259303328773548,0.26031474441542063,0.4633616086971007,0.09001339032623813,100
7,0.5,ml_only,0.4416907667682915,0.34945977037963977,0.6274936297796571,,100
7,0.5,ml_only_torch,0.4453664059616427,0.3534426997464496,0.6330604661358954,,100
7,0.5,weighted_hybrid,0.34318406689408953,0.2752088336168586,0.48770582128359796,0.09349634093209197,100
